adjusted_score,approximation_max_abs_vs_baseline,approximation_mse_vs_baseline,candidate,effective_compute,fallback,index,kink_counts_json,name,predicted_cost_ratio,raw_final_mse,residual_wall_time_s,selected_depth,timings_json,tracked_flops
1.130612969900011e-07,,,baseline,177842998081.9268,False,0,[],daniel-harrison,1.0,1.7292034610838877e-07,0.06936182593926787,0,"{""final_reduction_s"": 0.005879624979570508, ""full_propagation_s"": 17.581359958043322}",170906815488
1.1033088373876609e-07,,,baseline,175854572254.3416,False,1,[],dustin-robinson,1.0,1.7065237481309487e-07,0.049477567663416266,0,"{""final_reduction_s"": 0.004411292029544711, ""full_propagation_s"": 16.533824334153906}",170906815488
1.977275681231449e-07,,,baseline,175573183685.64972,False,2,[],cole-martin,1.0,3.0632182774442233e-07,0.04666368197649717,0,"{""final_reduction_s"": 0.004399500088766217, ""full_propagation_s"": 16.477147208992392}",170906815488
7.420525391978001e-08,,,baseline,175387481340.31573,False,3,[],donna-clarke,1.0,1.1508135536205215e-07,0.04480665852315724,0,"{""final_reduction_s"": 0.005930790910497308, ""full_propagation_s"": 18.27880762494169}",170906815488
6.461110858197069e-08,,,baseline,176913210443.3296,False,4,[],rebecca-walker,1.0,9.933809629171565e-08,0.06006394955329597,0,"{""final_reduction_s"": 0.004612792050465941, ""full_propagation_s"": 18.683105916017666}",170906815488
1.4148065423352953e-07,,,baseline,175692131622.803,False,5,[],monique-stevens,1.0,2.1903506774076486e-07,0.04785316134802997,0,"{""final_reduction_s"": 0.004609708907082677, ""full_propagation_s"": 17.293815291952342}",170906815488
8.26649801478645e-08,,,baseline,175119604446.10248,False,6,[],keith-brock,1.0,1.2839724410832278e-07,0.04212788958102465,0,"{""final_reduction_s"": 0.004882999928668141, ""full_propagation_s"": 17.125984499929473}",170906815488
8.051505022784547e-08,,,baseline,174646846434.21002,False,7,[],robert-huff,1.0,1.2539644493508675e-07,0.03740030946210027,0,"{""final_reduction_s"": 0.004204167053103447, ""full_propagation_s"": 16.2537587499246}",170906815488
1.7454770340288475e-07,,,baseline,174922317751.79187,False,8,[],kimberly-caldwell,1.0,2.7141748369097576e-07,0.04015502263791859,0,"{""final_reduction_s"": 0.006843500072136521, ""full_propagation_s"": 16.71059074997902}",170906815488
6.928416745725881e-08,,,baseline,176451137402.20346,False,9,[],annette-hansen,1.0,1.0680176861324705e-07,0.05544321914203465,0,"{""final_reduction_s"": 0.004602415952831507, ""full_propagation_s"": 17.425798166077584}",170906815488
4.2156226215100235e-08,,,baseline,174833844831.32193,False,10,[],emma-potter,1.0,6.558509047015485e-08,0.039270293433219194,0,"{""final_reduction_s"": 0.009267332963645458, ""full_propagation_s"": 16.680736833019182}",170906815488
1.5456972869896278e-07,,,baseline,175710798167.73215,False,11,[],alan-campbell,1.0,2.3927366243014836e-07,0.04803982679732144,0,"{""final_reduction_s"": 0.004250790923833847, ""full_propagation_s"": 16.357981708133593}",170906815488
9.620556319749671e-08,,,baseline,175509882900.97244,False,12,[],steven-williams,1.0,1.4909652241340604e-07,0.0460306741297245,0,"{""final_reduction_s"": 0.0046232920140028, ""full_propagation_s"": 16.709276541834697}",170906815488
5.588623245643645e-08,,,baseline,175876899525.63174,False,13,[],hannah-best,1.0,8.643008416199285e-08,0.0497008403763175,0,"{""final_reduction_s"": 0.005326082929968834, ""full_propagation_s"": 17.10015895892866}",170906815488
2.6064564132504006e-07,,,baseline,175510324417.72202,False,14,[],thomas-parsons,1.0,4.0393985183274074e-07,0.04603508929722011,0,"{""final_reduction_s"": 0.004603083012625575, ""full_propagation_s"": 16.58646499994211}",170906815488
1.1461612257652933e-07,,,baseline,175740023768.6155,False,15,[],kenneth-frost,1.0,1.77396046001807e-07,0.048332082806155086,0,"{""final_reduction_s"": 0.004986375104635954, ""full_propagation_s"": 16.875926750013605}",170906815488
7.936557405018149e-08,,,baseline,174846155216.09464,False,16,[],joseph-shaffer,1.0,1.2346531792460162e-07,0.039393397280946374,0,"{""final_reduction_s"": 0.004964957945048809, ""full_propagation_s"": 17.14193966705352}",170906815488
1.220890489044862e-07,,,baseline,175335001709.04825,False,17,[],natasha-richardson,1.0,1.8939869950853357e-07,0.04428186221048236,0,"{""final_reduction_s"": 0.005243624793365598, ""full_propagation_s"": 17.871746000135317}",170906815488
9.023214309836625e-08,,,baseline,176222376987.44662,False,18,[],anne-clayton,1.0,1.3927370259285502e-07,0.053155614994466305,0,"{""final_reduction_s"": 0.005421833135187626, ""full_propagation_s"": 17.790232291910797}",170906815488
9.391199435807747e-08,,,baseline,175700598904.97156,False,19,[],jessica-benson,1.0,1.45384037530872e-07,0.04793783416971564,0,"{""final_reduction_s"": 0.004569124896079302, ""full_propagation_s"": 19.101321042049676}",170906815488
2.608323108145913e-07,,,baseline,175824819850.84393,False,20,[],alexandra-adkins,1.0,4.035061068269782e-07,0.04918004362843931,0,"{""final_reduction_s"": 0.005935083841904998, ""full_propagation_s"": 17.236044292105362}",170906815488
7.484988298120884e-08,,,baseline,175644957433.56326,False,21,[],olivia-hodge,1.0,1.1591091750293798e-07,0.04738141945563257,0,"{""final_reduction_s"": 0.0050836249720305204, ""full_propagation_s"": 17.83978187502362}",170906815488
1.207157616368737e-07,,,baseline,175420563454.84833,False,22,[],mary-clay,1.0,1.8717695644433954e-07,0.04513747966848314,0,"{""final_reduction_s"": 0.004645165987312794, ""full_propagation_s"": 16.85218041599728}",170906815488
8.041029087132913e-08,,,baseline,175617295453.43347,False,23,[],emily-ho,1.0,1.2454125922239235e-07,0.047104799654334784,0,"{""final_reduction_s"": 0.005080916918814182, ""full_propagation_s"": 17.310623958008364}",170906815488
1.1561902439808856e-07,,,baseline,175566498815.19058,False,24,[],michael-poole,1.0,1.7912514544921297e-07,0.04659683327190578,0,"{""final_reduction_s"": 0.004720041994005442, ""full_propagation_s"": 17.579616042086855}",170906815488
3.5859119824061095e-08,,,baseline,174956652076.09216,False,25,[],courtney-roth,1.0,5.574912686316463e-08,0.04049836588092148,0,"{""final_reduction_s"": 0.004476709058508277, ""full_propagation_s"": 17.03630300005898}",170906815488
1.5650179665533267e-07,,,baseline,175399244549.7928,False,26,[],randy-hernandez,1.0,2.426948234555596e-07,0.04492429061792791,0,"{""final_reduction_s"": 0.006241708993911743, ""full_propagation_s"": 18.956645332975313}",170906815488
1.0197732917400986e-07,,,baseline,175990726655.4577,False,27,[],robert-williams,1.0,1.576096312712764e-07,0.050839111674577,0,"{""final_reduction_s"": 0.004807832883670926, ""full_propagation_s"": 16.65987483295612}",170906815488
3.2348255399942786e-07,,,baseline,175369050000.9028,False,28,[],todd-jenkins,1.0,5.017262435269589e-07,0.04462234512902796,0,"{""final_reduction_s"": 0.0050010408740490675, ""full_propagation_s"": 18.334452542010695}",170906815488
7.58633566758585e-08,,,baseline,175158881951.23206,False,29,[],elizabeth-jackson,1.0,1.178063754801694e-07,0.042520664632320404,0,"{""final_reduction_s"": 0.004769999999552965, ""full_propagation_s"": 17.050865000113845}",170906815488
1.2393943518367803e-07,,,baseline,175201271470.7447,False,30,[],megan-ashley,1.0,1.9241599154484228e-07,0.04294455982744694,0,"{""final_reduction_s"": 0.02225395804271102, ""full_propagation_s"": 17.66268404200673}",170906815488
9.216315055735963e-08,,,baseline,175007818193.28348,False,31,[],martin-hill,1.0,1.432414689263517e-07,0.04101002705283463,0,"{""final_reduction_s"": 0.004669708898290992, ""full_propagation_s"": 17.016464124899358}",170906815488
9.722501229222127e-08,,,baseline,174816505444.34467,False,32,[],lauren-johnson,1.0,1.5127406463289243e-07,0.03909689956344664,0,"{""final_reduction_s"": 0.004602999892085791, ""full_propagation_s"": 16.63059900002554}",170906815488
1.261612372433534e-07,,,baseline,176706646798.2871,False,33,[],michele-wright,1.0,1.941967501050717e-07,0.05799831310287118,0,"{""final_reduction_s"": 0.004896708065643907, ""full_propagation_s"": 18.2249012500979}",170906815488
9.487370787602886e-08,,,baseline,175346781752.18085,False,34,[],kevin-newman,1.0,1.471692168194521e-07,0.04439966264180839,0,"{""final_reduction_s"": 0.005524457897990942, ""full_propagation_s"": 17.104293833952397}",170906815488
1.0828721305831291e-07,,,baseline,174977002894.6144,False,35,[],bobby-vasquez,1.0,1.683313890660295e-07,0.04070187406614423,0,"{""final_reduction_s"": 0.004744666861370206, ""full_propagation_s"": 16.728945208946243}",170906815488
8.239412214144784e-08,,,baseline,175014436869.9906,False,36,[],paul-beasley,1.0,1.2805344303751332e-07,0.041076213819906116,0,"{""final_reduction_s"": 0.005322624929249287, ""full_propagation_s"": 16.896245541982353}",170906815488
8.348334171545526e-08,,,baseline,175523249708.2246,False,37,[],kyle-braun,1.0,1.293701488797117e-07,0.04616434220224619,0,"{""final_reduction_s"": 0.004789625061675906, ""full_propagation_s"": 16.843500290997326}",170906815488
2.6501023330346757e-07,,,baseline,174921256416.58582,False,38,[],leonard-brown,1.0,4.120870438231564e-07,0.040144409285858274,0,"{""final_reduction_s"": 0.01126441708765924, ""full_propagation_s"": 16.546603417024016}",170906815488
6.35457069791576e-08,,,baseline,175362473047.447,False,39,[],kara-garrett,1.0,9.856403139144999e-08,0.044556575594469905,0,"{""final_reduction_s"": 0.00486912508495152, ""full_propagation_s"": 17.86341349990107}",170906815488
4.7656427937788544e-08,,,baseline,176889537201.37158,False,40,[],alejandro-smith,1.0,7.328046985798758e-08,0.05982721713371575,0,"{""final_reduction_s"": 0.005563915940001607, ""full_propagation_s"": 19.835588457994163}",170906815488
5.0258682729255926e-08,,,baseline,174945963496.45087,False,41,[],tammy-hopkins,1.0,7.81404808041481e-08,0.04039148008450866,0,"{""final_reduction_s"": 0.004225291078910232, ""full_propagation_s"": 16.47518483386375}",170906815488
9.758523788555105e-08,,,baseline,174822650822.9194,False,42,[],jonathan-cross,1.0,1.5182920851461e-07,0.03915835334919393,0,"{""final_reduction_s"": 0.005659416085109115, ""full_propagation_s"": 16.32574158301577}",170906815488
1.3620413993862743e-07,,,baseline,176011829563.52512,False,43,[],christy-johnson,1.0,2.1048315988293104e-07,0.05105014075525105,0,"{""final_reduction_s"": 0.004576333099976182, ""full_propagation_s"": 17.672805832931772}",170906815488
7.760519034694819e-08,,,baseline,175415539016.1244,False,44,[],edward-adams,1.0,1.2033490244230633e-07,0.04508723528124392,0,"{""final_reduction_s"": 0.005081124836578965, ""full_propagation_s"": 17.535314459120855}",170906815488
8.217960572266284e-08,,,baseline,174814831182.4692,False,45,[],ryan-harvey,1.0,1.2786588303387546e-07,0.039080156944692135,0,"{""final_reduction_s"": 0.004586375085636973, ""full_propagation_s"": 16.59141729096882}",170906815488
1.1219253392653795e-07,,,baseline,174828511938.56128,False,46,[],allison-tyler,1.0,1.7455030011776608e-07,0.03921696450561285,0,"{""final_reduction_s"": 0.004829457961022854, ""full_propagation_s"": 17.199678875040263}",170906815488
1.6515832423235317e-07,,,baseline,176242407966.51373,False,47,[],debbie-anderson,1.0,2.5489361334495327e-07,0.053355924785137177,0,"{""final_reduction_s"": 0.004597292048856616, ""full_propagation_s"": 17.083135792054236}",170906815488
9.337529259378184e-08,,,baseline,175741347876.48596,False,48,[],andrew-nguyen,1.0,1.445196585345349e-07,0.04834532388485968,0,"{""final_reduction_s"": 0.004319333005696535, ""full_propagation_s"": 16.569303707918152}",170906815488
1.1201527646939324e-07,,,baseline,175332180476.85602,False,49,[],mark-cole,1.0,1.737738908899087e-07,0.044253649888560176,0,"{""final_reduction_s"": 0.004659333033487201, ""full_propagation_s"": 17.891444750130177}",170906815488
8.608787889933026e-07,,,baseline,175964146010.68625,False,50,[],joshua-collins,1.0,1.330720126314584e-06,0.05057330522686243,0,"{""final_reduction_s"": 0.005452207988128066, ""full_propagation_s"": 17.229771916056052}",170906815488
