split,seed,rotation,case_id,rank,baseline_error_energy,source_ratio,baseline_reconstruction_max_abs,p01_valid_S,p02_valid_S,p03_valid_S,p04_valid_S,oracle_best_valid_S
development,910001,31001,seed910001_rot31001,37,1.4745456386909662e-07,0.085143115968451658,0,1.4764704429593931,1.4639234657982985,1.468715780985268,1.477919990024148,1.4639234657982985
development,910001,31013,seed910001_rot31013,37,1.6594271831427363e-07,0.11296071763750493,0,1.3915186696842776,1.3797732301973749,1.3841747499965238,1.3923993906606844,1.3797732301973749
development,910001,31033,seed910001_rot31033,36,2.6191458283628504e-07,0.050922200347681142,0,1.1061437215053835,1.0965737021232553,1.0999087033144952,1.106618301111431,1.0965737021232553
development,910003,31001,seed910003_rot31001,36,5.7068138614998764e-07,0.046115262049644279,0,1.3713218255099884,1.3156858066693693,1.5684329629676346,1.3621233017195304,1.3156858066693693
development,910003,31013,seed910003_rot31013,36,3.3192272046012422e-07,0.070735451765727847,0,1.7985931533679451,1.7256852435861352,2.0547410071490688,1.7870097688893314,1.7256852435861352
development,910003,31033,seed910003_rot31033,36,3.994782156857725e-07,0.076606719366253656,0,1.6401933580838193,1.5735976506677505,1.8731843178873182,1.6293477958141969,1.5735976506677505
development,910009,31001,seed910009_rot31001,35,4.8511838075455097e-08,0.21287568705065821,0,2.1967061067311038,2.1862970989520685,2.1822680835006403,2.1788015267773506,2.1788015267773506
development,910009,31013,seed910009_rot31013,35,1.3076294817656424e-07,0.064727653993445849,0,1.3377486802772738,1.3313054769114554,1.3294382221402177,1.3268192476007425,1.3268192476007425
development,910009,31033,seed910009_rot31033,35,2.6978282338919533e-07,0.01868644465077051,0,0.93201518494810864,0.9276685104819129,0.92613542649729741,0.92453601474655656,0.92453601474655656
development,910019,31001,seed910019_rot31001,35,2.1987265715769744e-07,0.082804993010347008,0,1.3890089599317057,1.3543242266105318,1.3556725291576466,1.4020461865194438,1.3543242266105318
development,910019,31013,seed910019_rot31013,35,1.9889830567449769e-07,0.075686895747382216,0,1.4595952375546448,1.4230244218337968,1.4244371576127146,1.4730060955913902,1.4230244218337968
development,910019,31033,seed910019_rot31033,36,4.2819886566469857e-07,0.043517176702744326,0,0.99604869771978355,0.97131225436933599,0.97235490577693906,1.005251340843214,0.97131225436933599
validation,910033,31001,seed910033_rot31001,34,6.5264283672242102e-07,0.039912266456384536,0,1.2889754414454087,1.2344696938626898,1.2224297506789608,1.2400418152247616,1.2224297506789608
validation,910033,31013,seed910033_rot31013,34,4.542481651610992e-07,0.059799026356721609,5.5511151231257827e-17,1.5454691367969329,1.4803624295290518,1.4658035382503365,1.4874689792242244,1.4658035382503365
validation,910033,31033,seed910033_rot31033,35,6.4816895605035011e-07,0.025974933194964033,0,1.2944597925873829,1.2400807961952858,1.2282338416462288,1.2462620387646179,1.2282338416462288
validation,910043,31001,seed910043_rot31001,35,2.0076908540523949e-07,0.1229554452766933,0,2.0150394294002552,1.9743431951338204,1.9481714422305991,1.978450707720671,1.9481714422305991
validation,910043,31013,seed910043_rot31013,36,3.753630255855506e-07,0.059157940780640669,5.5511151231257827e-17,1.4752811195421418,1.4458171444728869,1.4268723323410817,1.4492578828961413,1.4268723323410817
validation,910043,31033,seed910043_rot31033,36,1.9562260800779751e-07,0.22599532872665737,0,2.0427580325629742,2.0015764678046732,1.9752245178745422,2.0061534505700962,1.9752245178745422
validation,910051,31001,seed910051_rot31001,35,2.0593686046103299e-07,0.098738125696235468,0,1.7934206739298064,1.7236345961293433,1.7234215667301567,1.7904603721489425,1.7234215667301567
validation,910051,31013,seed910051_rot31013,35,1.3614284818387207e-07,0.19336733832309599,0,2.2040009893154093,2.1178379156122857,2.1176201977998983,2.2002292298612423,2.1176201977998983
validation,910051,31033,seed910051_rot31033,35,1.5440312351037373e-07,0.13103310979110125,0,2.0720587585779535,1.9917034502288082,1.9915441783858054,2.0686809051131303,1.9915441783858054
validation,910067,31001,seed910067_rot31001,37,1.131807803204727e-07,0.090812200975268736,0,1.6089984874225047,1.5856497721556742,1.5584221740188939,1.6476081598987977,1.5584221740188939
validation,910067,31013,seed910067_rot31013,37,2.1825253196009576e-07,0.062439443633107453,2.7755575615628914e-17,1.1588040678251621,1.1417738258026768,1.1218007707656164,1.1860219823280798,1.1218007707656164
validation,910067,31033,seed910067_rot31033,37,8.8604284534379655e-08,0.19441459482964391,0,1.8187561467595141,1.7919785233628405,1.7609659167773553,1.8616537635522845,1.7609659167773553
confirmation,910079,31001,seed910079_rot31001,37,1.4613316983231851e-07,0.11303563662177257,0,1.2919267655880384,1.2713983289116444,1.2890696525470473,1.2986069074730884,1.2713983289116444
confirmation,910079,31013,seed910079_rot31013,37,2.021733061224227e-07,0.057676093798644655,0,1.0990292867805032,1.0817481917051814,1.0969050900783945,1.1048433876903982,1.0817481917051814
confirmation,910079,31033,seed910079_rot31033,36,2.2347997165266211e-07,0.058345090471080677,0,1.0440877291344191,1.0275150515351732,1.0416443689823884,1.0490877848925297,1.0275150515351732
