method,candidate_over_base,gain_base_over_candidate,row_wins,network_wins,worst_network_ratio,alpha_mean,alpha_min,alpha_max
oracle_unclipped,0.8230227896057775,1.2150331833204686,48,16,0.981147438544029,0.2571779500673132,-1.1614203034863504,2.0357329316037043
oracle_clip_m2_2,0.8230320217366102,1.2150195540265671,48,16,0.981147438544029,0.256433513992236,-1.1614203034863504,2.0
oracle_clip_0_2,0.8595064609565034,1.1634583862082295,26,15,1.0,0.4313047184806161,0.0,2.0
extratrees_clip_0_2,0.966450459296144,1.0347141856896522,18,9,1.0843742678128445,0.23781027658059295,0.0,0.6818080792303998
extratrees_clip_m2_2,0.9665488895753119,1.034608813672515,22,8,1.0843742678128445,0.23323624784186858,-0.10823453390458461,0.6818080792303998
ridge_clip_0_2,0.987515948860394,1.0126418729277362,19,7,1.0842790220692875,0.2582252015017393,0.0,0.6502507577536475
ridge_clip_m2_2,0.9966451979315446,1.003366094649749,19,7,1.1357953781812518,0.2614978145975828,-0.18495562167170831,0.9374361139466445
global_constant_clip_0_2,0.9973090168436164,1.0026982440857701,23,8,1.2007956120221521,0.24119913843642557,0.12865375421206168,0.31476654665947945
global_constant_clip_m2_2,0.9973090168436164,1.0026982440857701,23,8,1.2007956120221521,0.24119913843642557,0.12865375421206168,0.31476654665947945
none,1.0,1.0,0,0,1.0,0.0,0.0,0.0
original_alpha1,1.145173500571044,0.8732301258292715,17,6,1.953860889589848,1.0,1.0,1.0
