config,mode,gain,wins,worst,alpha,shrink_gain,shrink_wins,shrink_worst,ci
harm6810_k16|ridge=0.1,full,1.0084774423595504,6,1.0193769557683696,2.0,1.0154171697629584,6,1.0436194133393941,"[0.9872305465960636, 1.0414271421380992]"
harm6810_k8|ridge=0.1,full,1.0080735129219511,6,1.019198262683464,2.0,1.0146403302819254,6,1.0432291117507344,"[0.9870668095799802, 1.0402354951057524]"
harm6810_k2|ridge=0.1,full,1.0080001683442201,7,1.0229527717570468,2.0,1.0145668467520392,7,1.0506807228859956,"[0.9840757213347521, 1.0417742571984365]"
harm6810_k4|ridge=0.1,full,1.0075230389171235,6,1.020958544311334,2.0,1.013563943432162,6,1.0467017412776427,"[0.9850124339973819, 1.0395956905092913]"
harm6810_k16|ridge=1,full,1.0067023550761798,6,1.0048260166141618,2.0,1.0131769558581585,6,1.0102029923222766,"[0.9997376740129811, 1.0267663538608616]"
harm68_k16|ridge=1e-08,full,1.0072639533438914,6,1.020841647025803,2.0,1.0128370239952884,6,1.0469063942138332,"[0.9839388531204466, 1.0418436916631115]"
harm68_k16|ridge=0.0001,full,1.0072633229541024,6,1.0208353256044163,2.0,1.0128365880609684,6,1.04689113735301,"[0.9843749666494945, 1.041249074027287]"
harm6810_k8|ridge=1,full,1.0065231612189025,6,1.0048893088504876,2.0,1.01282744766414,6,1.0103147064635247,"[0.9996233702698482, 1.0262314678162512]"
harm68_k16|ridge=0.01,full,1.0072002373742424,6,1.0202289498714576,2.0,1.0127889717354166,6,1.045429709259613,"[0.9850523241623617, 1.0408985046996193]"
harm6810_k2|ridge=1,full,1.0062416854072074,6,1.0069236163375852,2.0,1.0122814638165645,6,1.0143610480625918,"[0.9978860979146401, 1.0263758108456371]"
harm6810_k4|ridge=1,full,1.0061684474053547,6,1.005574922623651,2.0,1.0121224692931075,6,1.0116665718498108,"[0.9987464239321159, 1.0254963281761407]"
harm68_k16|ridge=0.1,full,1.0066085182598656,6,1.0160583161349734,2.0,1.0121129714063428,6,1.035495169455809,"[0.9889417736067038, 1.0360359289211183]"
harm68_k8|ridge=1e-08,full,1.006873728431882,6,1.020633417236783,2.0,1.0120944037339799,6,1.046466824732194,"[0.9835356837424185, 1.040914503912913]"
harm68_k8|ridge=0.0001,full,1.006873234524261,6,1.0206270987819661,2.0,1.0120942262343118,6,1.0464515767859415,"[0.9838539601559467, 1.0409077253042216]"
harm68_k8|ridge=0.01,full,1.0068232683183593,6,1.020021069489155,2.0,1.0120714663497206,6,1.0449911343409413,"[0.9845953673955513, 1.0402471995792097]"
harm68_k8|ridge=0.1,full,1.0063231150350982,6,1.0158568819006486,2.0,1.0115696511978058,6,1.035071936810416,"[0.9887697741963086, 1.0353360763720807]"
harm68_k4|ridge=1e-08,full,1.0064278376147722,5,1.0209124794838729,2.0,1.0112395473520663,5,1.0469871152250576,"[0.9828655429105341, 1.0392329526936834]"
harm68_k4|ridge=0.0001,full,1.0064273639843948,5,1.0209061476332775,2.0,1.0112393976329996,5,1.046971850566707,"[0.9830829772353625, 1.0390336553422512]"
harm68_k4|ridge=0.01,full,1.0063794892091535,5,1.02029878218134,2.0,1.0112195965048811,5,1.0455097114942358,"[0.9834823434587459, 1.038682985608051]"
harm68_k4|ridge=0.1,full,1.0059006622649402,6,1.0161218183071945,2.0,1.0107520843556943,6,1.0355721814563477,"[0.9879510598186946, 1.0337164238487997]"
harm6810_k16|ridge=0.01,full,1.0069316732212037,5,1.033932471790518,2.0,1.010584115696544,5,1.079657774322112,"[0.970694866870521, 1.0457812553323305]"
harm68_k2|ridge=0.0001,full,1.0059030599013736,7,1.0235641188205338,2.0,1.0102283150762332,7,1.0522708330395691,"[0.9804383210315891, 1.038879261250493]"
harm68_k2|ridge=1e-08,full,1.0059034402430398,7,1.0235707503075497,2.0,1.0102282938279052,7,1.05228669390033,"[0.9801325399204308, 1.038684983585039]"
harm68_k2|ridge=0.01,full,1.0058642264364583,7,1.0229274375855701,2.0,1.0102251139473484,7,1.0507503621523928,"[0.9809807905441553, 1.03805848515968]"
harm6810_k2|ridge=0.01,full,1.0065644622979386,7,1.0380471015238386,2.0,1.0100176246882215,7,1.0877697814967295,"[0.9677150874606435, 1.0460085042892162]"
harm68_k2|ridge=0.1,full,1.0054530571355904,7,1.0185123110480248,2.0,1.0098834888222294,7,1.0403388911181184,"[0.9852188632627721, 1.0334537904723495]"
harm6810_k8|ridge=0.01,full,1.0063929958345303,5,1.033322932738571,2.0,1.0095580198102665,5,1.0784052409332183,"[0.9705262972488305, 1.0437231409434566]"
harm6810_k16|ridge=0.0001,full,1.0064970882453248,5,1.037353830614584,2.0,1.0092442563272628,5,1.0884380432193252,"[0.966170932787749, 1.0465069626750891]"
harm6810_k16|ridge=1e-08,full,1.0064921338552768,5,1.037392365158517,2.0,1.0092289220557462,5,1.0885375361348921,"[0.9665314607406246, 1.046357788827668]"
harm6810_k2|ridge=0.0001,full,1.006155009436129,7,1.0415702245038208,2.0,1.008744162857479,7,1.096745582585253,"[0.9637344787815805, 1.0471355289453042]"
harm6810_k2|ridge=1e-08,full,1.0061503244928685,7,1.0416098729904009,2.0,1.0087295525075435,7,1.0968472084942142,"[0.9633528346873992, 1.0471478880607807]"
harm6810_k4|ridge=0.01,full,1.0057074332190599,5,1.0359888505687425,2.0,1.0082375658790628,5,1.08366460064285,"[0.9686948627378349, 1.043309278068039]"
harm6810_k8|ridge=0.0001,full,1.005930881467533,5,1.0366402060564828,2.0,1.0081688255708263,5,1.0869770640238825,"[0.9676525113757074, 1.044470110669573]"
harm6810_k8|ridge=1e-08,full,1.0059256230173832,5,1.0366775678909206,2.0,1.0081529499766975,5,1.0870742073895077,"[0.966955263368333, 1.0444724358794724]"
sigmoid_k16|ridge=1e-08,full,1.0040105550268412,7,1.0254325063020313,2.0,1.0076330891193317,7,1.0515201383651298,"[0.9862022319455418, 1.0230894014895617]"
sigmoid_k16|ridge=0.0001,full,1.003952709511602,7,1.0254364162381266,2.0,1.0075197004363934,7,1.051525016890584,"[0.9861436069578445, 1.0229088088814602]"
