config,mode,unshrunk_gain,unshrunk_wins,unshrunk_worst,global_alpha,global_shrink_gain,global_shrink_ci,global_shrink_wins,global_shrink_worst,lono_alpha_mean,lono_shrink_gain,lono_shrink_ci,lono_shrink_wins,lono_shrink_worst
sigtanh_k8_hp|ridge=1e-08|rank=2,full,1.1543595925656323,6,7.126183653914923,2.0,1.3161698618975144,"[-0.7952873271307749, 3.0221728380503383]",5,12.499654736626695,2.0,1.3161698618975144,"[-0.7806980619759496, 3.3800514113985485]",5,12.499654736626695
sigtanh_k8_hp|ridge=1e-08|rank=full,full,1.1527790868057686,5,8.280711275317932,2.0,1.298847251668231,"[-0.5297474714398831, 3.1037259441865235]",5,14.490359954019793,2.0,1.298847251668231,"[-0.7317941475283296, 3.0004297828093383]",5,14.490359954019793
sigtanh_k8_hp|ridge=1e-08|rank=16,full,1.1496755200461877,6,7.8026287949456705,2.0,1.292886902883946,"[-0.496818931254637, 2.8237214352177875]",6,13.589642465914721,2.0,1.292886902883946,"[-1.0679487160074799, 3.1634545970371564]",6,13.589642465914721
sigtanh_k8_hp|ridge=1e-08|rank=4,full,1.1413730461495575,5,7.6529235673872,2.0,1.2781157675139607,"[-0.2633539920392087, 2.7194050267328462]",5,13.50364457376766,2.0,1.2781157675139607,"[-0.4373240660333331, 2.8763712494053593]",5,13.50364457376766
sigtanh_k8_hp|ridge=1e-08|rank=8,full,1.1382020832367141,5,8.284470235803102,2.0,1.2676508175400991,"[-0.46440482154244656, 2.8430101748404404]",5,14.674949621329214,2.0,1.2676508175400991,"[-0.45196839500237507, 2.7439627384606897]",5,14.674949621329214
harm_k8_d6_8|ridge=1e-08|rank=16,cf4,1.099869015358056,5,5.178067902474614,2.0,1.1811400816146602,"[-1.0572168479316861, 3.114059722342241]",5,9.07021441581515,2.0,1.1811400816146602,"[-0.988847890066655, 3.2982596498901926]",5,9.07021441581515
harm_k8_d6_8|ridge=1e-08|rank=full,cf4,1.0998690153580553,5,5.178067902474607,2.0,1.1811400816146589,"[-1.0043323918479448, 2.9704760368048664]",5,9.070214415815132,2.0,1.1811400816146589,"[-0.9767692936504819, 2.995316943832716]",5,9.070214415815132
harm_k8_d6_8|ridge=1e-05|rank=full,cf4,1.0997679776873532,5,5.178087538096089,2.0,1.1809766146260539,"[-1.1111349207696741, 3.219988792915039]",5,9.07025499311257,2.0,1.1809766146260539,"[-0.8707941626165623, 2.9446699363984417]",5,9.07025499311257
harm_k8_d6_8|ridge=1e-05|rank=16,cf4,1.0997679776873528,5,5.178087538096089,2.0,1.180976614626053,"[-0.7082483584431146, 3.0921744751053817]",5,9.070254993112572,2.0,1.180976614626053,"[-0.8707941626165728, 3.1056583837384255]",5,9.070254993112572
harm_k8_d6_8|ridge=1e-08|rank=8,cf4,1.0941077955545173,5,5.283986454678221,2.0,1.168001112978975,"[-0.8135401653783357, 3.0037211625374565]",5,9.322398477806038,2.0,1.168001112978975,"[-0.9648466834036558, 3.010314173814388]",5,9.322398477806038
harm_k8_d6_8|ridge=1e-05|rank=8,cf4,1.0940080279768511,5,5.284012686818503,2.0,1.1678420512581096,"[-0.6573977768687462, 2.9942330914279784]",5,9.322452422443817,2.0,1.1678420512581096,"[-0.7729376698423394, 2.9693568640079113]",5,9.322452422443817
harm_k8_d6_8|ridge=0.001|rank=16,cf4,1.090798475529131,5,5.179996902349838,2.0,1.1659210736279466,"[-0.729494950275303, 2.8621195419439944]",5,9.074202503060507,2.0,1.1659210736279466,"[-0.6543100345891341, 2.8522684224904835]",5,9.074202503060507
harm_k8_d6_8|ridge=0.001|rank=full,cf4,1.0907984755291285,5,5.179996902349893,2.0,1.16592107362794,"[-0.6546304932298812, 2.7472400447780534]",5,9.07420250306062,2.0,1.16592107362794,"[-0.9325328603421542, 2.7472400447780534]",5,9.07420250306062
harm_k8_d6_8|ridge=0.001|rank=8,cf4,1.0851509593323794,5,5.2865760724980335,2.0,1.1531857153893048,"[-0.4466370325611303, 2.9375110343015476]",5,9.327724477959155,2.0,1.1531857153893048,"[-0.3394414574612378, 2.6950502824196487]",5,9.327724477959155
sigtanh_k2_hp|ridge=1e-08|rank=2,full,1.073880420594708,6,2.330456668019955,2.0,1.1511300576756742,"[0.5202213641789324, 1.72450116370751]",6,3.5733623068176676,2.0,1.1511300576756742,"[0.5420046625309424, 1.7315671524665854]",6,3.5733623068176676
sigtanh_k2_hp|ridge=1e-08|rank=2,cf4,1.0747246837982551,4,1.084107332062503,2.0,1.1477718732069082,"[0.3382316692090638, 2.1043653879132824]",4,1.1825200778611638,2.0,1.1477718732069082,"[0.16443765003442345, 2.095644478727805]",4,1.1825200778611638
harm_k8_d6_8|ridge=1e-08|rank=2,cf4,1.0838572780876994,5,4.474073132829195,2.0,1.147196382583504,"[-0.2414607232107191, 2.669990955902913]",5,7.802482679992588,2.0,1.147196382583504,"[-0.5451795705227183, 2.7916344385760894]",5,7.802482679992588
harm_k8_d6_8|ridge=1e-05|rank=2,cf4,1.0837598699761037,5,4.474100710536484,2.0,1.147044785196881,"[-0.5472161361627937, 2.6639738196894087]",5,7.80253596541371,2.0,1.147044785196881,"[-0.32252160393264717, 2.870224477325162]",5,7.80253596541371
harm_k8_d6_8|ridge=1e-08|rank=4,cf4,1.0787209781281974,5,5.321528170114594,2.0,1.1345385215973505,"[-0.41045919360571465, 2.551011404173926]",5,9.381581303644777,2.0,1.1345385215973505,"[-0.3167315149748127, 2.682087557974542]",5,9.381581303644777
harm_k8_d6_8|ridge=1e-05|rank=4,cf4,1.0786240953304709,5,5.32156182729294,2.0,1.1343877217108371,"[-0.34674927891733553, 2.6575763074119227]",5,9.381651103641861,2.0,1.1343877217108371,"[-0.3169320238435558, 2.6575763074119227]",5,9.381651103641861
sigtanh_k2_hp|ridge=1e-08|rank=4,full,1.066768325508733,5,3.219447468651896,2.0,1.1332095232805028,"[0.49936223080490105, 1.775688740629763]",5,5.322428548956733,2.0,1.1332095232805028,"[0.49720764836132875, 1.7872873171640176]",5,5.322428548956733
harm_k8_d6_8|ridge=0.001|rank=2,cf4,1.0751089604748656,5,4.47679686426665,2.0,1.133056380352932,"[-0.5744205039381265, 2.623549843513076]",5,7.807742294194441,2.0,1.133056380352932,"[-0.35599825717726863, 2.563248620116807]",5,7.807742294194441
sigtanh_k2_hp|ridge=1e-08|rank=full,full,1.0666438886066634,6,4.305874984101477,2.0,1.1317977388232041,"[0.588361578097408, 1.6813120048157941]",6,7.432337532063606,2.0,1.1317977388232041,"[0.5373943641395076, 1.728057590801666]",6,7.432337532063606
sigtanh_k2_hp|ridge=1e-08|rank=8,full,1.064337076840464,7,4.298325536020457,2.0,1.1268518973666979,"[0.5985712097946458, 1.7016227714954169]",7,7.4180379118459205,2.0,1.1268518973666979,"[0.592734638322645, 1.6854277410135037]",7,7.4180379118459205
harm_k8_d6_8|ridge=0.001|rank=4,cf4,1.070030571590037,5,5.324851934530557,2.0,1.1205157384247264,"[-0.1790840043273, 2.4388703207189817]",5,9.388476424814215,2.0,1.1205157384247264,"[-0.8529071128217087, 2.50298052923269]",5,9.388476424814215
sigtanh_k4_hp|ridge=1e-08|rank=full,full,1.0703603024001953,5,3.1803057281809712,2.0,1.1270126127091262,"[0.4008711247478097, 1.9084602241279862]",5,4.757266823740084,1.9827995660761868,1.1201135854278588,"[0.29112798150343816, 1.8730615974152802]",5,4.757266823740084
sigtanh_k8_hp|ridge=1e-05|rank=4,full,1.0564002377580635,6,5.691180119346928,2.0,1.1125215611961858,"[0.20814058495474747, 1.9531388616584922]",6,9.75377623656085,2.0,1.1125215611961858,"[0.1466998855577703, 1.9486945462092673]",6,9.75377623656085
sigtanh_k8_hp|ridge=1e-05|rank=full,full,1.055879326328126,6,6.234630626162347,2.0,1.1080966045402991,"[0.08507144628303714, 1.804669173273632]",6,10.706716774082034,2.0,1.1080966045402991,"[0.2885757128689361, 1.942452855718676]",6,10.706716774082034
sigtanh_k8_hp|ridge=1e-05|rank=8,full,1.0531909436743827,5,6.245360014866346,2.0,1.1042230086402258,"[0.2844415785649056, 1.8915119123113158]",5,10.836927885049652,2.0,1.1042230086402258,"[0.28868941504709883, 1.815798309330916]",5,10.836927885049652
sigmoid_k8_hp|ridge=1e-08|rank=full,full,1.0524073928438027,5,6.035737201956763,2.0,1.1026729725370965,"[0.13177366221034464, 1.9557317973029533]",5,10.486018282009208,2.0,1.1026729725370965,"[0.22404258477844724, 1.90071782863044]",5,10.486018282009208
sigmoid_k8_hp|ridge=1e-05|rank=full,full,1.0523897157841338,5,6.032449868398772,2.0,1.1026401956726881,"[0.1379167805959259, 1.9390207563933488]",5,10.479908827172046,2.0,1.1026401956726881,"[0.20720588452996852, 1.9000659279635073]",5,10.479908827172046
sigtanh_k8_hp|ridge=1e-05|rank=16,full,1.0522815685380649,6,5.660371150456456,2.0,1.1014322087709763,"[0.19876903411574148, 1.8592476479596727]",6,9.614969287745822,2.0,1.1014322087709763,"[0.30962349751413876, 1.845053266038856]",6,9.614969287745822
sigmoid_k8_hp|ridge=1e-08|rank=16,full,1.0514479129487606,5,6.066455255669403,2.0,1.1007438086929264,"[0.22480320856527247, 1.9951872517751372]",5,10.550768344373713,2.0,1.1007438086929264,"[0.1787560571922183, 1.9330178389256407]",5,10.550768344373713
sigmoid_k8_hp|ridge=1e-05|rank=16,full,1.0514303099431461,5,6.0631631144657065,2.0,1.1007112341622962,"[0.17026875521826298, 1.9323101614861657]",5,10.544649177252934,2.0,1.1007112341622962,"[0.13391628156000487, 1.9828483241829908]",5,10.544649177252934
sigmoid_k8_hp|ridge=0.001|rank=full,full,1.05074638129912,5,5.72875138234828,2.0,1.0995743804388873,"[0.007456825984269564, 1.8708238158623396]",5,9.913991547318886,2.0,1.0995743804388873,"[0.1299395579053427, 1.8779783638883092]",5,9.913991547318886
sigtanh_k8_hp|ridge=1e-05|rank=2,full,1.049400406540766,5,5.344625457619359,2.0,1.0990335508355116,"[0.2735351073623359, 1.6906120140358676]",5,9.15391669260537,2.0,1.0990335508355116,"[0.4202436955012485, 1.7591002009725791]",5,9.15391669260537
sigtanh_k4_hp|ridge=1e-08|rank=16,full,1.066416682523987,5,3.1839477734121546,2.0,1.118759709241817,"[0.4198685925580108, 1.7757845878687124]",5,4.774872213168276,1.9502392349693563,1.0988327633570603,"[0.4599763254819919, 1.6943747362283956]",5,4.774872213168276
