candidate,mode,gain_base_over_candidate,ci95,wins,median_candidate_over_base,worst_candidate_over_base,mean_cosine,median_negative_mass,max_negative_mass,features
harmonic_jac_d68,cf4,1.03253698827121,"[0.9754564945174464, 1.0831876164202783]",5,0.9841425338911503,1.3946712489888295,0.28398453154541603,0.0,7.435529604602671e-07,8
stein_softplus_jac_hp,cf4,1.0028399690646552,"[0.9857935283449486, 1.0245599202202758]",3,1.0060509790216163,1.0299179408213144,0.08837251373549722,0.0,6.868980983591684e-06,12
stein_sigmoid_jac_hp,cf4,1.0001686837252084,"[0.9569121751297752, 1.0275277131303109]",3,1.0240187278346526,1.0942502073872649,0.07159926989964367,0.0,0.0,12
stein_tanh_jac_hp,cf4,0.9997008756839506,"[0.9577531965916934, 1.0238708781191477]",3,1.0233118644416557,1.0956292485957884,0.06261766330410859,0.0,0.0,12
stein_softplus_all_hp,cf4,0.9866320058442187,"[0.921877809571346, 1.0404578293569813]",2,1.046729707028072,1.2050849944575397,-0.13741961230747887,0.0,6.457991434581743e-06,36
stein_sigmoid_all_hp,cf4,0.9840040575746817,"[0.9063118659498344, 1.0456607095845523]",3,1.0178052458109579,1.2646046982652266,0.07277611436904027,0.0,2.669946283981838e-06,36
stein_tanh_all_hp,cf4,0.9832603826367322,"[0.9063687434259433, 1.0393501340564342]",3,1.0121167724959064,1.2577860766758349,0.08190791756596291,0.0,8.928060075712437e-07,36
stein_combo_all_hp,cf4,0.9380334039045732,"[0.8237900361895714, 1.2365162689172715]",3,1.1208979499129528,1.309902290337369,-0.0742513178043982,1.8833932408996181e-06,0.0004401874566116723,108
harmonic_jac_d68,full,1.0452094749203127,"[0.975728864604656, 1.1132324707614487]",6,0.9617020303045343,1.5699128027850264,0.28398453154541603,0.0,7.435529604602671e-07,8
stein_sigmoid_jac_hp,full,1.0182971043251647,"[0.9810691277451806, 1.0337684538837022]",5,0.9817365029410783,1.1228261424904573,0.07159926989964367,0.0,0.0,12
stein_tanh_jac_hp,full,1.0174255660376967,"[0.9812408220877809, 1.0326579376973486]",5,0.9835568888963798,1.1184284508862354,0.06261766330410859,0.0,0.0,12
stein_sigmoid_all_hp,full,1.0153893210552176,"[0.948829171723386, 1.1062398762750907]",6,0.9902484875985329,1.355961788294552,0.07277611436904027,0.0,2.669946283981838e-06,36
stein_tanh_all_hp,full,1.0141144705291876,"[0.9457596085834432, 1.1009344397892897]",6,0.9872114300869803,1.3768629315290244,0.08190791756596291,0.0,8.928060075712437e-07,36
stein_softplus_jac_hp,full,1.01008655252984,"[0.9953127248131567, 1.029601352006886]",4,1.0027069784419238,1.049407188024646,0.08837251373549722,0.0,6.868980983591684e-06,12
stein_softplus_all_hp,full,1.0024163860141895,"[0.9574413510346982, 1.0628646443334462]",2,1.0283456342436257,1.1262040142577339,-0.13741961230747887,0.0,6.457991434581743e-06,36
stein_combo_all_hp,full,1.0005533933533195,"[0.9042242028144393, 1.2273678176863212]",4,0.9976295243359556,1.3114452984016307,-0.0742513178043982,1.8833932408996181e-06,0.0004401874566116723,108
harmonic_jac_d68,oracle,2.138809933851647,"[1.263409758931532, 5.592425557050375]",8,0.5009688349430801,0.9875454981141655,0.28398453154541603,0.0,7.435529604602671e-07,8
stein_tanh_jac_hp,oracle,1.8961341943024326,"[1.1711536043006028, 2.823551181533963]",8,0.5841903346646813,0.9615734923622921,0.06261766330410859,0.0,0.0,12
stein_sigmoid_jac_hp,oracle,1.8794125951995102,"[1.1890241049430283, 2.734055988565077]",8,0.6036307728410881,0.9558549328076538,0.07159926989964367,0.0,0.0,12
stein_combo_all_hp,oracle,1.7703651815027557,"[1.298648044405432, 2.3438235403234366]",8,0.49480598589603575,0.9445963133157464,-0.0742513178043982,1.8833932408996181e-06,0.0004401874566116723,108
stein_softplus_jac_hp,oracle,1.5369204986272897,"[1.1135030134328976, 3.7477786736637624]",8,0.7105994630530165,0.995015975107674,0.08837251373549722,0.0,6.868980983591684e-06,12
stein_softplus_all_hp,oracle,1.4295252257047428,"[1.1815811767084474, 2.3755214445206305]",8,0.695619740553558,0.8924826632386638,-0.13741961230747887,0.0,6.457991434581743e-06,36
stein_tanh_all_hp,oracle,1.2957975654893041,"[1.128235026439556, 2.282425629389368]",8,0.7494469711018735,0.997241170094134,0.08190791756596291,0.0,8.928060075712437e-07,36
stein_sigmoid_all_hp,oracle,1.2732427761003358,"[1.1099578904735417, 2.2153683190415547]",8,0.7486077180434949,0.996018223030105,0.07277611436904027,0.0,2.669946283981838e-06,36
