candidate,mode,networks,unshrunk_gain,unshrunk_ci,unshrunk_wins,unshrunk_worst,frozen_grid_alpha,grid_shrink_gain,grid_shrink_ci,grid_shrink_wins,grid_shrink_worst,diagnostic_opt_alpha,diagnostic_gain,diagnostic_worst
harmonic_d68_k8,full,8,1.0621239046148856,"[0.9864985915580673, 1.1472460780568658]",5,1.062540055567376,2.0,1.1043491540313406,"[0.9550337081008548, 1.2993320072865733]",5,1.152226884768983,2.0,1.1043491540313406,1.152226884768983
harmonic_d68_k8,cf4,8,1.0348097869882327,"[0.9929136852838024, 1.0745366355532058]",6,1.1131376362401475,2.0,1.0551677283604572,"[0.9725977705157453, 1.1242249039260546]",4,1.2632883798404206,2.0,1.0551677283604572,1.2632883798404206
stein_tanh_k8_stable,full,8,1.0112748915504528,"[1.0005363251272472, 1.0203200370627676]",6,1.0068786005543864,2.0,1.0223395558534727,"[1.0006163960008512, 1.0409231695763763]",6,1.0139704233611722,2.0,1.0223395558534727,1.0139704233611722
stein_sigmoid_k4_mid,full,8,1.0102045783501163,"[0.9975054145724918, 1.021041746273806]",5,1.0095070955460246,2.0,1.0196664877200992,"[0.9940953000868337, 1.0423393784433042]",4,1.0196090983907726,2.0,1.0196664877200992,1.0196090983907726
stein_sigmoid_k4_mid,cf4,8,1.007083363043336,"[0.9930152644778382, 1.0225028126279054]",6,1.0386662150971249,2.0,1.0128394188159224,"[0.984242517185758, 1.0442251752415896]",6,1.0792042329948628,2.0,1.0128394188159224,1.0792042329948628
stein_tanh_k4_stable,full,8,1.0045501218962711,"[0.9965819066519337, 1.0122296855695758]",4,1.0090397588398812,2.0,1.0088326900991624,"[0.9932371796372185, 1.024424540136309]",4,1.0184153078061298,2.0,1.0088326900991624,1.0184153078061298
stein_tanh_k4_stable,cf4,8,1.0037229662011782,"[0.9968972084445975, 1.011108842644811]",4,1.010000682651961,2.0,1.0070562214401542,"[0.9933875390665676, 1.0222075438428277]",4,1.0204466157127396,2.0,1.0070562214401542,1.0204466157127396
stein_tanh_k8_stable,cf4,8,1.0025633533706664,"[0.9963235667686731, 1.0089212456582863]",5,1.0316431063516835,2.0,1.0046442759971754,"[0.9920837378520512, 1.0176345030678078]",5,1.0646426868797239,2.0,1.0046442759971754,1.0646426868797239
stein_sigtanh_k4_heavy,full,8,1.0021333467693434,"[0.9989919070256471, 1.0050596007112467]",4,1.0029518764667578,2.0,1.0042232991623772,"[0.9979617799284366, 1.010156654452715]",4,1.0059796805248773,2.0,1.0042232991623772,1.0059796805248773
stein_sigtanh_k4_heavy,cf4,8,1.0017257944051081,"[0.9988855994307256, 1.0048712566139346]",3,1.0050940273544107,2.0,1.0033854714333277,"[0.9976154486814376, 1.009651879803195]",3,1.0102404903659963,2.0,1.0033854714333277,1.0102404903659963
stein_sigtanh_k2_rr2,cf4,8,0.9836527071608923,"[0.9573678661107234, 1.0124101674849546]",2,1.1622222882556048,0.0,1.0,"[1.0, 1.0]",0,1.0,0.0,1.0,1.0
stein_sigtanh_k2_rr2,full,8,0.9954153478388086,"[0.9690955265479253, 1.0128686953859196]",6,1.0665903851822693,0.0,1.0,"[1.0, 1.0]",0,1.0,0.0,1.0,1.0
