network_seed,rotation_seed,qmc_n_per_half,baseline_mse,baseline_unbiased_mse,truth_noise_mse,oracle_ratio,oracle_unbiased_ratio,risk_n032,risk_n129,frozen_gate_apply_n129,rotation_runtime_seconds,k32_ratio,k32_unbiased_ratio,k128_ratio,k128_unbiased_ratio,alpha32,alpha32_opt_mse,alpha128,alpha128_opt_mse
493891104,3,262144,6.237625779672261e-07,5.84379936180683e-07,7.876528357308634e-08,0.01661849860330446,-0.04965373117606428,0.005535967354458456,0.002901614368533797,False,3.296653985977173,0.9811642100210042,0.9798948249453332,0.8382212422113724,0.8273186179558204,0.5344479363002568,5.356696412312805e-07,0.7648089596726142,4.7292890893274765e-07
493891104,11,262144,4.0142526212830636e-07,3.620426203417632e-07,7.876528357308634e-08,0.0180927284734501,-0.08871818319664015,0.005480521328060927,0.002776655310889499,True,2.3925673961639404,1.1554284165431876,1.172335767524107,0.8561101218727003,0.8404579218039694,0.22420353806498847,3.5635669229570546e-07,0.7152720004024974,2.93405373998634e-07
493891104,97,262144,2.2254773611942904e-07,1.8316509433288584e-07,7.876528357308634e-08,0.03148462794083501,-0.1767575270477449,0.005613589265153079,0.002807785624848525,False,2.265561103820801,3.091097575631531,3.5407080598875353,2.61973161330502,2.967992891740529,0.23756414171501747,1.3312638666194992e-07,0.2897492208187099,1.111964729827098e-07
205215497,3,262144,1.396579372639604e-07,1.1805644231297309e-07,4.3202989901974674e-08,0.03343588189346257,-0.14342214896039032,0.004845149754405837,0.0025648398075827253,True,3.1816823482513428,1.1119209370532221,1.1323997818269413,0.976343372060741,0.9720147770347062,0.4128357492065871,1.0277504178081848e-07,0.5136162949028361,8.605223274454174e-08
205215497,11,262144,1.1402952863424066e-07,9.242803368325333e-08,4.3202989901974674e-08,0.05462206049456431,-0.16632364150949755,0.004881818194756779,0.00238135151731934,True,2.3921616077423096,1.009071848776678,1.011192044216701,0.9376491426531611,0.9230770298807185,0.49320476598429586,7.391262735709372e-08,0.539605512208528,6.629277015279554e-08
205215497,97,262144,1.6191557023181855e-07,1.4031407528083123e-07,4.3202989901974674e-08,0.05315878501905424,-0.09260838540815801,0.00499674008093883,0.0026003460208589148,True,2.266101837158203,0.6085144712127254,0.5482448749048899,0.6886466200573255,0.6407134497652973,1.0686206013168011,7.666401406681468e-08,0.7343564835569923,8.231125687185737e-08
422494190,3,262144,1.8765666309227311e-07,1.6867182342022248e-07,3.79696793441011e-08,0.046982216305081634,-0.06028460195290921,0.005151567844994847,0.0023801124616970987,True,1.7294533252716064,0.8882006964973899,0.8756171374333747,0.45776124756465186,0.3967296207628799,0.5692203859556758,1.1956973476300526e-07,0.741308622073665,5.28074788885834e-08
422494190,11,262144,3.156752924135731e-07,2.966904527415226e-07,3.79696793441011e-08,0.027523068821159402,-0.03470447659730554,0.0050545267867739595,0.0024899192398252653,True,3.1773715019226074,0.5445794593370497,0.5154376859232049,0.3867785308809975,0.34753927944197055,0.8549929689082139,1.4866767644678606e-07,0.913753102571342,1.0137148841167769e-07
422494190,97,262144,2.9760376629779907e-07,2.7861892662574867e-07,3.79696793441011e-08,0.03805232510373101,-0.027493912554912087,0.004961718965431031,0.002582405972854161,True,2.7109363079071045,0.4296903589473808,0.39082997989871665,0.384075640480745,0.34210711609801336,1.283880932586806,1.0016811061450224e-07,1.177819615198838,9.104207559280976e-08
680708219,3,262144,1.0085250134691529e-07,6.97503570225977e-08,6.220428864863555e-08,0.03823347975560047,-0.39062455618602165,0.005233177092722831,0.002562221538513497,True,2.483783721923828,0.6523853132956521,0.4973816313556685,0.6388443541799558,0.47780266924351944,0.7533442060193247,3.0483085635163166e-08,0.7077235800161223,2.5837406401032995e-08
680708219,11,262144,2.2519042454871657e-07,1.94088280224399e-07,6.220428864863555e-08,0.00973958568948303,-0.14894708147524888,0.004979133704795291,0.002271604404685838,True,2.215960741043091,0.3835726341477001,0.28479174497690163,0.29778392480474236,0.1852556171071956,1.102215584360007,5.407058033872024e-08,1.1867918383730303,3.193913348926218e-08
680708219,97,262144,2.711308693089054e-07,2.4002872498458775e-07,6.220428864863555e-08,0.021549437816822344,-0.10523501517389813,0.004865044215084556,0.002334840291974458,True,3.2709879875183105,0.26899326706918847,0.17427178358373535,0.23264039134621267,0.13320842003305217,0.7985579802074229,2.8361034112124017e-08,0.7832127144080983,1.4711383644582059e-08
