item,added_effective_compute_B,required_raw_gain_factor,required_raw_reduction_fraction,fixed_raw_score_penalty,note
translation_reuse_final_replay,0.0847,1.0004853868194843,0.00048515133342164063,7.52335294117647e-11,validated replacement cost
A43_tracked_saving,-0.524123904,0.9969964246189111,-0.003012624024441246,-4.655453500235294e-10,negative cost: score benefit if residual/raw unchanged
one_billion,1.0,1.005730659025788,0.005698005698005715,8.88235294117647e-10,reference
full_second_final_replay,5.549,1.0317994269340973,0.030819388055473684,4.928817647058824e-09,historical full replay
ordinary_pilot_1024_plus_2048,8.17,1.0468194842406877,0.044725461214211504,7.256882352941176e-09,pilot total
cross_scale_pilot_low,10.2,1.0584527220630373,0.05522468868435304,9.059999999999998e-09,cross-scale low
adjoint_compression_measured,10.34,1.0592550143266475,0.05594027266825352,9.18435294117647e-09,measured FlopScope
cross_scale_pilot_high,12.2,1.0699140401146132,0.06534547402249602,1.0836470588235294e-08,cross-scale high
historical_gate_ceiling,14.0,1.0802292263610316,0.07427055702917773,1.243529411764706e-08,old <14B gate
companion16_propagation_only,19.811940882,1.113535477833811,0.10195946163715808,1.7597665136364707e-08,A43 16 bases depth30 projection
companion16_plus_inherited_control,22.049940882,1.1263606927335243,0.11218492757134846,1.95855357246e-08,+2.238B control accounting
companion16_plus_literal_control,39.486940882,1.2262861941661891,0.18452967605987924,3.507369454812941e-08,+19.675B literal control accounting
