geomed {'mean_ratio': 0.9728148236589454, 'median_ratio': 0.9831584606446997, 'wins': 14, 'n': 24, 'worst': 1.558148673625816} oracle 0.7692543009365306
multi_nested {'mean_ratio': 0.9741153588420716, 'median_ratio': 1.0044908052535193, 'wins': 12, 'n': 24, 'worst': 1.46812684014703} oracle None
trim0.05 {'mean_ratio': 0.9950289788558387, 'median_ratio': 1.0043264626632205, 'wins': 11, 'n': 24, 'worst': 1.2127774574958297} oracle 0.8850141963416119
trim0.1 {'mean_ratio': 0.9996578368238896, 'median_ratio': 1.0071148526244775, 'wins': 9, 'n': 24, 'worst': 1.2688980147745637} oracle 0.8844668613984276
central32 {'mean_ratio': 0.9996725180892444, 'median_ratio': 0.9981498022256826, 'wins': 12, 'n': 24, 'worst': 1.0540205149063662} oracle 0.9187007941496389
huber2 {'mean_ratio': 0.9997798980979735, 'median_ratio': 1.0027451057437586, 'wins': 11, 'n': 24, 'worst': 1.1681768972002715} oracle 0.8923474686635697
geomean_coord {'mean_ratio': 1.000037910125445, 'median_ratio': 0.9999143668501604, 'wins': 15, 'n': 24, 'worst': 1.005837574815731} oracle 0.9609738760466219
power0.25 {'mean_ratio': 1.0000533143487793, 'median_ratio': 0.9999176421504778, 'wins': 14, 'n': 24, 'worst': 1.0066121625860127} oracle 0.9575606174271721
power0.5 {'mean_ratio': 1.000057003125429, 'median_ratio': 0.9999141641949258, 'wins': 14, 'n': 24, 'worst': 1.0068767713737174} oracle 0.9574721828442337
power0.75 {'mean_ratio': 1.0000589155853754, 'median_ratio': 0.999912666578129, 'wins': 14, 'n': 24, 'worst': 1.0070241030533338} oracle 0.9647618961021184
power1.25 {'mean_ratio': 1.0000612386554877, 'median_ratio': 0.999913126498297, 'wins': 14, 'n': 24, 'worst': 1.0072178267470075} oracle 0.9642552375029371
power3 {'mean_ratio': 1.0000613357402095, 'median_ratio': 0.9999381476996447, 'wins': 14, 'n': 24, 'worst': 1.0067919591151326} oracle 0.9589608110613507
power1.5 {'mean_ratio': 1.0000620747283897, 'median_ratio': 0.9999134552361227, 'wins': 14, 'n': 24, 'worst': 1.0072927674584675} oracle 0.9554150474684316
power2 {'mean_ratio': 1.0000634290912689, 'median_ratio': 0.9999139246862916, 'wins': 14, 'n': 24, 'worst': 1.0074208899783352} oracle 0.9524038583836648
huber3 {'mean_ratio': 1.0002204978284717, 'median_ratio': 1.0004912139020077, 'wins': 11, 'n': 24, 'worst': 1.0222713179528762} oracle 0.9598162208357235
huber1.5 {'mean_ratio': 1.0003038920219733, 'median_ratio': 1.0057777117546696, 'wins': 11, 'n': 24, 'worst': 1.2792736762261199} oracle 0.8884801760962716
central96 {'mean_ratio': 1.0014441153606006, 'median_ratio': 0.9803120145218158, 'wins': 14, 'n': 24, 'worst': 1.567674696283331} oracle 0.7804783438474022
median {'mean_ratio': 1.0016468182584017, 'median_ratio': 1.0046228504392964, 'wins': 10, 'n': 24, 'worst': 1.0896300413551652} oracle 0.9387102475199827
trim0.2 {'mean_ratio': 1.00196447754127, 'median_ratio': 1.0100305011738795, 'wins': 10, 'n': 24, 'worst': 1.223826426637904} oracle 0.89367927313048
huber1 {'mean_ratio': 1.002052752545959, 'median_ratio': 1.0111434427103354, 'wins': 10, 'n': 24, 'worst': 1.251385642547284} oracle 0.8917530142859897
central64 {'mean_ratio': 1.0136856536223184, 'median_ratio': 0.9935235601192027, 'wins': 13, 'n': 24, 'worst': 1.2359379996519533} oracle 0.8862629886059278
