network,condition_number,direction,euclidean_error_epsilon,break_even_epsilon,threshold_over_design_error,downstream_error_ratio_eta_J,candidate_base_ratio,gain,correction_cosine
0,39.566937730116116,actual_defect,0.0005,0.000555,1.0,0.9009009009009009,0.8161947042818204,1.2251978538379664,0.9877895298796224
0,39.566937730116116,opposite_defect,0.0005,0.000555,1.0,0.9009009009009009,0.8161947042818204,1.2251978538379664,0.9877895298796227
0,39.566937730116116,isotropic,0.0005,0.0005013500248160594,0.9033333780469538,0.9973072210048167,0.9947522344987302,1.0052754498248644,0.6702549980229644
0,39.566937730116116,analytic_residual_synthetic,0.0005,0.0005297081429384306,0.9544290863755505,0.9439160161412062,0.8936236240344905,1.1190393506891037,0.8393288454710959
0,39.566937730116116,companion_residual_synthetic,0.0005,0.0004970664409739144,0.8956152089620079,1.0059017442825906,1.0115509813072936,0.9885809202692232,0.6018418308857137
0,39.566937730116116,leading_downstream_singular,0.0005,0.00020173022808812614,0.36347788844707407,2.4785576496823998,6.018411905740909,0.16615678947566032,0.20876329337338917
0,39.566937730116116,trailing_downstream_singular,0.0005,0.007981847373045003,14.381706978459464,0.06264213992471454,0.02810063872118374,35.58637972332449,0.9858572520740447
0,39.566937730116116,defect_sensitivity_gradient,0.0005,0.000249728052425847,0.4499604548213459,2.002177949745824,3.9356894419035267,0.25408508846072525,0.9171527916687837
1,31.227358270345977,actual_defect,0.0005,0.0005550000000000002,1.0000000000000002,0.9009009009009009,0.8161947042818205,1.2251978538379662,0.9877895298796228
1,31.227358270345977,opposite_defect,0.0005,0.0005550000000000002,1.0000000000000002,0.9009009009009009,0.8161947042818205,1.2251978538379662,0.9877895298796225
1,31.227358270345977,isotropic,0.0005,0.000513109421957891,0.924521481005209,0.9744510207825283,0.9507791901588659,1.0517689179050183,0.6566409947541352
1,31.227358270345977,analytic_residual_synthetic,0.0005,0.0005578953159667984,1.0052167855257628,0.8962254847641632,0.8079963302315175,1.2376293834323073,0.8358882191031642
1,31.227358270345977,companion_residual_synthetic,0.0005,0.0005011874772931752,0.9030404996273427,0.9976306724589595,0.9953818382757964,1.0046395880923478,0.5765196793214272
1,31.227358270345977,leading_downstream_singular,0.0005,0.0001950945851952131,0.35152177512651006,2.5628594432782252,6.433096862747938,0.15544612825444754,0.5067204384106861
1,31.227358270345977,trailing_downstream_singular,0.0005,0.006092288508495455,10.977096411703522,0.08207096550052903,0.030844001548621332,32.42121481623055,0.9844786267700846
1,31.227358270345977,defect_sensitivity_gradient,0.0005,0.00022644047903632093,0.40800086312850614,2.208085772154723,4.781573777745709,0.20913616446831315,0.9164300754839213
2,47.875728351772146,actual_defect,0.0005,0.0005550000000000002,1.0000000000000002,0.9009009009009009,0.8161947042818206,1.225197853837966,0.9877895298796227
2,47.875728351772146,opposite_defect,0.0005,0.0005550000000000002,1.0000000000000002,0.9009009009009009,0.8161947042818206,1.225197853837966,0.9877895298796227
2,47.875728351772146,isotropic,0.0005,0.00047651995993799293,0.858594522410798,1.0492739906740998,1.0985250359637637,0.9103115243274131,0.7079149583276884
2,47.875728351772146,analytic_residual_synthetic,0.0005,0.0004933943855715086,0.888998892921637,1.0133881021382924,1.026301187168182,0.9743728376260059,0.8360054966572175
2,47.875728351772146,companion_residual_synthetic,0.0005,0.0004779720282026826,0.8612108616264551,1.046086319904847,1.092007836539346,0.9157443440782206,0.6129638697901176
2,47.875728351772146,leading_downstream_singular,0.0005,0.00017273691570706686,0.311237685958679,2.8945752444018216,8.199474441486782,0.12195903617191757,0.35141302299849575
2,47.875728351772146,trailing_downstream_singular,0.0005,0.008269905652714486,14.900730905791866,0.06046018189287101,0.0278385541383414,35.92140579681626,0.9859879936329241
2,47.875728351772146,defect_sensitivity_gradient,0.0005,0.0002120346255970046,0.3820443704450533,2.3581054207170187,5.449965515622392,0.18348739953188475,0.9114607945749108
3,90.80593459817861,actual_defect,0.0005,0.000555,1.0,0.9009009009009008,0.8161947042818204,1.2251978538379664,0.9877895298796227
3,90.80593459817861,opposite_defect,0.0005,0.000555,1.0,0.9009009009009008,0.8161947042818204,1.2251978538379664,0.9877895298796228
3,90.80593459817861,isotropic,0.0005,0.0005622351937096554,1.0130363850624422,0.8893075453014163,0.7959439317288164,1.2563699026236272,0.7780656808943006
3,90.80593459817861,analytic_residual_synthetic,0.0005,0.0005444000366367171,0.9809009669130037,0.9184422600133922,0.8473338503916508,1.1801723718907071,0.8813700062163976
3,90.80593459817861,companion_residual_synthetic,0.0005,0.0005735814148930948,1.0334800268344049,0.8717158314712673,0.7657164400891565,1.3059664748527073,0.7074183263394066
3,90.80593459817861,leading_downstream_singular,0.0005,0.0001844528710529016,0.33234751541063345,2.7107195303921223,7.193922693506344,0.13900621991707787,0.1518586116302605
