layer,aggregate_raw_mse_ratio,aggregate_gain_fraction,gain_ci95_low,gain_ci95_high,wins,worst_candidate_over_baseline
1,1.160508465062489,0.13830874129284898,0.030611136319150245,0.20932636489549106,6,1.3521343699123574
2,1.120265682475689,0.10735460735520541,0.05552373798516774,0.16314959982347577,6,1.085937087607181
3,1.2013606531210748,0.167610494482194,0.055401836630263324,0.27293427855098173,6,1.2342773802044524
4,1.1523895089414318,0.1322378481919838,-0.03405308327865808,0.23063632797903222,5,1.3297923626790296
5,1.0849718658439211,0.07831711449755208,-0.1599764466229332,0.2055980585373538,4,1.5539228453443121
6,1.2600772800336055,0.2063978806336937,0.043401398388021595,0.2896237968152483,5,1.195763021257846
7,1.185107190468552,0.1561944708101608,-0.07561031210973063,0.27468072867915583,5,1.603398688147159
8,1.2909153751628493,0.22535588370860504,0.031131573427755743,0.3263253690508937,6,1.4453033369459194
9,1.3794937133180645,0.27509637025113876,0.07559546066595502,0.4025238778921195,6,1.3604664581979382
10,1.4202563244242496,0.29590174477456743,0.12605489197126574,0.4207612077192535,7,1.2710916507031744
11,1.5224274444790442,0.34315424775977577,0.15160854597030715,0.4471806753227623,7,1.1370765253375836
12,1.6723608236164442,0.40204291688828153,0.2053942890699897,0.49824199618483295,6,1.0686786680390266
13,1.6880304122215697,0.4075936116080232,0.19408898316179046,0.5153674776153421,7,1.2205287639954885
14,1.7692731522921357,0.4347961485175559,0.218493945097187,0.5511057567874356,7,1.0917771657903719
15,1.8172402228103528,0.44971501981531914,0.26014995541639485,0.5592792648788425,7,1.0825513110351135
16,1.9591464459495904,0.4895736344429811,0.3094800778408642,0.5939791456585423,7,1.0087563131208706
17,1.9224969609762548,0.47984313093936215,0.3101753011643338,0.5856822972328177,8,0.9998545965946667
18,2.0742403922339245,0.5178958023650211,0.37122541454532965,0.6071177313274397,8,0.9585575474066788
19,2.104987330275337,0.5249377582385744,0.37265858222074577,0.617171571054471,8,0.9901972173253227
20,2.1530341256978125,0.5355391779143801,0.39220190997796955,0.6189063225247857,8,0.8982799069935624
21,2.3893052715188707,0.5814682987895036,0.4508356500538516,0.6582561666713543,8,0.8628539788941331
22,2.4691410036517687,0.5950008531221842,0.4327443169513904,0.6967171760245667,8,0.9281076237149631
23,2.597006508381157,0.6149412807504477,0.456448937645093,0.7195037431962068,8,0.7933969233272998
24,2.6803803047403285,0.6269186136640865,0.4703568251700895,0.7288511251686443,8,0.7681034408117731
25,2.9825601397588843,0.6647175737818176,0.5187901363541187,0.7635859622660272,8,0.7227942781916662
26,3.2020414318583037,0.6876992314806962,0.5512203860317362,0.7761310899796334,8,0.6942683530406228
27,3.538015020594086,0.7173556375031769,0.6049486949376682,0.7857987060368204,8,0.6226191806705503
28,4.07271200055583,0.7544633649854143,0.6567764923995356,0.8156197021383654,8,0.560651991237693
29,4.509619467913995,0.7782517999323415,0.6987705129285501,0.824116339692205,8,0.4925520028619802
30,4.992525208710067,0.7997005606991471,0.7257600311207316,0.8431926671154943,8,0.4375888854616137
31,5.777108961649153,0.8269030398009775,0.7653384934354316,0.8646446692281582,8,0.37821315181794296
