case_id,base_id,variant,split,truth_noise_mse,baseline_mse,baseline_mse_nc,reduced_base_mse,y0_mse,seconds,peak_rss_kb
1363462:0,1363462,0,development,1.589530947831797e-08,1.7960357015934408e-07,1.637082606810261e-07,2.1561328152700532e-07,2.1566002427102184e-07,6.3520089189999,1207992
1363462:1,1363462,1,development,1.589530947831797e-08,9.432104849307353e-08,7.842573901475555e-08,1.4823635932728523e-07,1.4828973381678614e-07,6.2901499340000555,1207992
1363462:2,1363462,2,development,1.589530947831797e-08,1.3842615450386014e-07,1.2253084502554217e-07,1.060430947727708e-07,1.0604190755762807e-07,6.383449379000012,1207992
1650126294:0,1650126294,0,development,4.473543753501884e-09,2.273188364438555e-07,2.2284529269035362e-07,1.899808357627424e-07,1.899988209553792e-07,6.349021913000115,1210032
1650126294:1,1650126294,1,development,4.473543753501884e-09,1.3366749639059122e-07,1.2919395263708934e-07,2.427745739841655e-07,2.4285193681917066e-07,5.106503640000028,1210032
1650126294:2,1650126294,2,development,4.473543753501884e-09,3.4217766955063904e-07,3.3770412579713714e-07,4.5534642083056657e-07,4.5525436317990477e-07,5.689091387999952,1210032
1969434888:0,1969434888,0,calibration,1.7691365608640285e-08,5.553557323642986e-07,5.376643667556584e-07,3.9804814039406945e-07,3.979815597227452e-07,6.314385537000135,1210032
1969434888:1,1969434888,1,calibration,1.7691365608640285e-08,1.93470475232098e-07,1.7577910962345773e-07,1.9229689778942644e-07,1.9238328258748143e-07,5.59266545499986,1210032
1969434888:2,1969434888,2,calibration,1.7691365608640285e-08,2.7689963014551357e-07,2.592082645368733e-07,2.6441410998055795e-07,2.6432328049301385e-07,6.5793062509999345,1210032
2102261066:0,2102261066,0,development,7.825642131996948e-09,1.6779655242456438e-07,1.5997091029256744e-07,2.237975025138867e-07,2.2376396736255605e-07,6.260725865999802,1210032
2102261066:1,2102261066,1,development,7.825642131996948e-09,1.778360211663309e-07,1.7001037903433397e-07,2.302958244973944e-07,2.29950533077651e-07,5.535486411999955,1210032
2102261066:2,2102261066,2,development,7.825642131996948e-09,1.3957644193153607e-07,1.317507997995391e-07,1.6793596667796966e-07,1.6773497554127245e-07,6.709355007999875,1210032
2966161469:0,2966161469,0,test,1.1807880920535735e-08,3.0212913832347507e-07,2.903212574029393e-07,3.040684594338289e-07,3.037903413414222e-07,6.954328954999937,1210032
2966161469:1,2966161469,1,test,1.1807880920535735e-08,2.4068397237659754e-07,2.288760914560618e-07,2.532937913084673e-07,2.532658036916309e-07,7.309744367000121,1210032
2966161469:2,2966161469,2,test,1.1807880920535735e-08,1.5793833556068816e-07,1.4613045464015243e-07,1.4331930158169945e-07,1.4328091475009927e-07,6.1627566009999555,1210032
3141865115:0,3141865115,0,test,1.0372831285522123e-08,1.0352912159113948e-07,9.315629030561736e-08,1.3830756026167914e-07,1.382938019803543e-07,7.066024146000018,1210032
3141865115:1,3141865115,1,test,1.0372831285522123e-08,1.3006825980839507e-07,1.1969542852287294e-07,1.8615322128548265e-07,1.8608083637996791e-07,6.4558435460000965,1210032
3141865115:2,3141865115,2,test,1.0372831285522123e-08,3.022211275310085e-07,2.9184829624548637e-07,2.7796013978536e-07,2.778111564616855e-07,5.873941338000122,1210032
3638781685:0,3638781685,0,calibration,3.270210084029124e-08,2.878802206753384e-07,2.5517811983504716e-07,3.4018726959206017e-07,3.4022708975808443e-07,6.302957256999889,1210032
3638781685:1,3638781685,1,calibration,3.270210084029124e-08,3.710730579868019e-07,3.3837095714651066e-07,4.688195662413444e-07,4.6833541982892114e-07,5.095208168999989,1210032
3638781685:2,3638781685,2,calibration,3.270210084029124e-08,4.395787352365931e-07,4.0687663439630185e-07,4.090278596350202e-07,4.0880442049521204e-07,6.200587786000142,1210032
