k,subset,split,name,n_cases,n_bases,pooled_raw_ratio_nc,pooled_raw_ratio_observed,adjusted_ratio_projected,cost_ratio_projected,wins,win_rate,median,p90,worst,observed_worst,mean_error_correction_ip,mean_correction_norm,mean_correction_cosine,grouped_adjusted_ci95,projected_effective_compute,dense_equivalent_flops
1,[2],development,oracle_best_k1,18,6,0.902835984786879,0.9073945793298116,0.8953998356873747,0.9917635658914729,11,0.6111111111111112,0.8787162872248595,1.9928629360263965,2.492277028277549,2.3571111769238313,1.702570072416008e-05,0.00441153620959662,0.36692323737347415,"[0.7403558806187569, 1.07134073282426]",174173517441.86047,274743689216
1,[2],calibration,oracle_best_k1,9,3,1.0907276284689615,1.0853353213310564,1.0817439222267269,0.9917635658914729,5,0.5555555555555556,0.727930707063453,2.587180712649321,3.1119371489521694,2.87202910160049,1.2949410668877225e-05,0.005443045892107418,0.2699006741735248,"[0.7521563003128148, 1.5634145277666296]",174173517441.86047,274743689216
1,[2],test,oracle_best_k1,9,3,1.1794753415857746,1.1625952120804364,1.1697606706521708,0.9917635658914729,4,0.4444444444444444,1.3030545373967488,1.9276216495029879,2.306821617147198,2.209120232712089,1.131308036883598e-05,0.00464387149977944,0.2623630258792622,"[0.923928886116623, 1.592998055045837]",174173517441.86047,274743689216
2,"[2, 7]",development,oracle_best_k2,18,6,0.7855239269987965,0.7955863915215767,0.7904715098723354,1.006298449612403,12,0.6666666666666666,0.8301599008804875,1.256105342662964,1.4099577675769377,1.3754346254888783,1.9705066462008408e-05,0.004260766516053777,0.505246130458687,"[0.6643334386857311, 0.9045385398617908]",176726133720.9302,278770221056
2,"[2, 7]",calibration,oracle_best_k2,9,3,0.7120344245758476,0.7291493746085368,0.7165191375213349,1.006298449612403,6,0.6666666666666666,0.6790479334231002,1.1252760190306241,1.152575234880662,1.1452585311209622,2.3342269664364407e-05,0.004837317081716758,0.507210871904514,"[0.6364310352386617, 0.844825837386916]",176726133720.9302,278770221056
2,"[2, 7]",test,oracle_best_k2,9,3,0.8835281400139642,0.8944826258108459,0.8890929974849823,1.006298449612403,5,0.5555555555555556,0.9499996460917924,1.3019521832112437,1.6062466281458403,1.508506017567225,1.5782621946641075e-05,0.0038363750399474433,0.4048533837600898,"[0.7967363897449404, 0.9439733602696097]",176726133720.9302,278770221056
4,"[2, 7, 1, 4]",development,oracle_best_k4,18,6,0.7052122145017707,0.7190426226765243,0.7301543131735873,1.0353682170542635,14,0.7777777777777778,0.7288484558581254,1.1119326516225823,1.3766290804071688,1.3640241710945915,2.2686780560330827e-05,0.004434768333359285,0.5713124353226076,"[0.6156948604160574, 0.8564199259076778]",181831366279.06976,286823284736
4,"[2, 7, 1, 4]",calibration,oracle_best_k4,9,3,0.6336887111617294,0.6554600614199766,0.656101151042934,1.0353682170542635,7,0.7777777777777778,0.6790479334231002,1.0424534977264848,1.1336429177752232,1.1272341081167747,3.0356015851907794e-05,0.005343415303960326,0.5710928742480755,"[0.450557773111399, 0.8364911847418187]",181831366279.06976,286823284736
4,"[2, 7, 1, 4]",test,oracle_best_k4,9,3,0.7616481938671799,0.7840658102361135,0.7885863325068619,1.0353682170542635,6,0.6666666666666666,0.7383113423497796,1.2509952244239995,1.4061217049201122,1.3406457392565623,1.756975474996238e-05,0.00334356681687695,0.501375392919132,"[0.6408923224408758, 0.8932982368627806]",181831366279.06976,286823284736
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,oracle_best_k8,18,6,0.6657206472109058,0.6814038611054428,0.7279706883502978,1.0935077519379846,14,0.7777777777777778,0.695923151528693,1.0564328263237792,1.204452312201162,1.1699973010672067,2.34313326478882e-05,0.0043405468698650305,0.6090934206634606,"[0.6254696984842796, 0.8142705929128216]",192041831395.34885,302929412096
8,"[2, 7, 1, 4, 3, 5, 0, 6]",calibration,oracle_best_k8,9,3,0.5140405475993468,0.5429230684822667,0.5621073236103322,1.0935077519379846,9,1.0,0.5318052246583241,0.8173782045924103,0.9554967609710486,0.9576309016563087,3.693287890776184e-05,0.005730687189090483,0.6775133659048787,"[0.39141422552649113, 0.6448693115612293]",192041831395.34885,302929412096
8,"[2, 7, 1, 4, 3, 5, 0, 6]",test,oracle_best_k8,9,3,0.6027222708631225,0.6400872896905816,0.65908147545449,1.0935077519379846,9,1.0,0.5813343208573452,0.8565831662689067,0.8772837122852424,0.8870702301515221,2.626562912876193e-05,0.004372991692208142,0.6799855274905242,"[0.5157972198279055, 0.7441282692112028]",192041831395.34885,302929412096
