k,subset,selector,fallback,threshold,split,name,n_cases,n_bases,pooled_raw_ratio_nc,pooled_raw_ratio_observed,adjusted_ratio_projected,cost_ratio_projected,wins,win_rate,median,p90,worst,observed_worst,mean_error_correction_ip,mean_correction_norm,mean_correction_cosine,grouped_adjusted_ci95,selected_orientations,mean_confidence,projected_effective_compute,dense_equivalent_flops
1,[2],common,zero,1.9060408378760705,development,frozen_common_k1,18,6,1.1204761815821738,1.1148238620201503,1.1275334443537666,1.006298449612403,6,0.3333333333333333,1.2212431758815978,1.5202239117181304,1.8451203651558106,1.8168361297763103,0.0,0.0,0.0,"[1.038824325947373, 1.2491193988595433]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",1.4581598163414595,176726133720.9302,278770221056
1,[2],common,zero,1.9060408378760705,calibration,frozen_common_k1,9,3,0.9344643750936596,0.9383594203398874,0.9403500518747727,1.006298449612403,6,0.6666666666666666,0.9631047141345018,1.3050679647839463,1.375567838021949,1.357557584820459,2.1592132242123043e-06,0.0004825279386856085,0.04925826378487327,"[0.7484908543132865, 1.125830955180019]","[2, null, null, null, null, null, null, null, null]",1.4637594212285256,176726133720.9302,278770221056
1,[2],common,zero,1.9060408378760705,test,frozen_common_k1,9,3,1.1432487421092297,1.1297758198853989,1.1504494367058478,1.006298449612403,2,0.2222222222222222,1.0751163840004039,1.39214112912798,1.4679591966277077,1.4306398552120676,0.0,0.0,0.0,"[1.005671696201882, 1.2584655227943304]","[null, null, null, null, null, null, null, null, null]",1.456610994917284,176726133720.9302,278770221056
2,"[2, 7]",ridge,zero,0.2546370970063175,development,frozen_ridge_k2,18,6,0.9728271321723124,0.9741019877525746,0.9789544348458783,1.006298449612403,9,0.5,1.0113762774376855,1.421447092408289,1.8451203651558106,1.8168361297763103,8.12178332636838e-06,0.0016083746009770271,0.19830223946624828,"[0.9128022862219566, 1.0417042664252105]","[null, 7, null, null, null, 2, 2, null, null, null, 7, null, 7, null, null, null, 7, 2]",0.22454626688527965,176726133720.9302,278770221056
2,"[2, 7]",ridge,zero,0.2546370970063175,calibration,frozen_ridge_k2,9,3,0.8985924403656044,0.9046194986815966,0.9042521795733335,1.006298449612403,5,0.5555555555555556,0.8275228027010639,1.3050679647839463,1.375567838021949,1.357557584820459,1.0218758629455719e-05,0.0028426933279484526,0.21922494735592835,"[0.7609033613980966, 1.0861970255295712]","[2, 7, 7, null, null, 7, null, null, 7]",0.356990298843441,176726133720.9302,278770221056
2,"[2, 7]",ridge,zero,0.2546370970063175,test,frozen_ridge_k2,9,3,1.24844431698718,1.2250774733386078,1.2563075806116146,1.006298449612403,1,0.1111111111111111,1.2270648886274655,1.5924258803938491,2.306821617147198,2.209120232712089,5.928501044353942e-06,0.002972879345148484,0.16013761717026265,"[1.0917016875783752, 1.3691046802406968]","[7, null, 2, null, 7, 7, null, 7, null]",0.32257056818104757,176726133720.9302,278770221056
4,"[2, 7, 1, 4]",ridge,zero,0.29476716974921946,development,frozen_ridge_k4,18,6,1.1189296284960857,1.1133498677763778,1.1585041744651816,1.0353682170542635,6,0.3333333333333333,1.2212431758815978,1.4988402618108105,1.8451203651558106,1.8168361297763103,1.0109065691065232e-06,0.0004327160768435233,0.0295205165663612,"[1.068216082134995, 1.283379895123177]","[null, 1, null, null, null, null, null, null, null, null, null, null, null, null, null, 4, null, null]",0.12680824652173694,181831366279.06976,286823284736
4,"[2, 7, 1, 4]",ridge,zero,0.29476716974921946,calibration,frozen_ridge_k4,9,3,0.950002092093584,0.9529736684505735,0.9836019722887543,1.0353682170542635,6,0.6666666666666666,0.9631047141345018,1.32295502312807,1.375567838021949,1.357557584820459,4.954537480132782e-06,0.001397951555075305,0.07467723742449842,"[0.8533020092682011, 1.1254047125841056]","[null, null, null, null, 1, 7, null, null, null]",0.15708772475278937,181831366279.06976,286823284736
4,"[2, 7, 1, 4]",ridge,zero,0.29476716974921946,test,frozen_ridge_k4,9,3,1.192430961670929,1.1743323219071504,1.2346051187455305,1.0353682170542635,2,0.2222222222222222,1.0751163840004039,1.424653396289951,1.4679591966277077,1.4306398552120676,-8.550348044276632e-07,0.00037291408114002456,-0.018123090746475123,"[1.0347233581046806, 1.4086551283940152]","[null, null, null, null, null, null, null, 7, null]",0.22466291727191637,181831366279.06976,286823284736
8,"[2, 7, 1, 4, 3, 5, 0, 6]",ridge,zero,0.12189105090168219,development,frozen_ridge_k8,18,6,1.128009827667656,1.1220040558748008,1.2334874908168119,1.0935077519379846,6,0.3333333333333333,1.2212431758815978,1.571310453369524,1.8451203651558106,1.8168361297763103,2.3399860941440792e-06,0.000714913215377479,0.041952395619040204,"[1.131950542858756, 1.3573724040568076]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 0, 7, null]",0.045996607171921645,192041831395.34885,302929412096
