candidate,pooled_ratio,pooled_ratio_unbiased,mean_ratio,wins,n,median,p90,worst,grouped_bootstrap_95,mean_error_correction_inner_product,mean_correction_norm,mean_correction_cosine,extra_trajectory_flops,diagnostic_flops_note,split_provenance,evaluation_split
zero,1.1429306481307082,1.165313651354843,1.1832256962777097,8,27,1.1393687608862224,1.5554227674893333,2.942282701231545,"[1.0304227951082232, 1.2884118770326582]",0.0,0.0,0.0,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
c2,3.081307837182506,3.4072415724543537,3.5096616288503535,2,27,2.492034714243265,5.84383420551496,16.241245644528586,"[2.195224257850545, 4.2144789304021835]",-5.929279061813577e-08,0.011068850890215911,0.15881465197147293,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
c4,1.9703040850536624,2.1222541373915185,2.154104665829678,3,27,1.585474315242357,3.9095079494855907,8.119542662895944,"[1.5267122035230831, 2.4790079892261714]",-5.368220527621083e-08,0.008225508600658123,0.21161898586152386,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
c8,1.2764436700101205,1.319734871988501,1.3935012898996655,8,27,1.2647785896185775,2.1263876709107667,2.8013516665444844,"[1.0727338865385994, 1.5191026815102175]",-6.367714694409711e-08,0.005995957798293388,0.3048838120769297,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
c12,1.0920564247483953,1.1064725019081443,1.1609796716756446,10,27,1.1127123887075698,1.6048013883486276,2.2888462958019726,"[0.9872246479998497, 1.2257223261340706]",-6.180876716809028e-08,0.004959645431959563,0.33787754468616493,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
c17,1.0228124450031946,1.026384884061819,1.0758325157841808,12,27,1.0242310186123496,1.424554613234152,2.2101153574433297,"[0.9300118839772371, 1.1338683665882947]",-5.603255045954468e-08,0.00435293040496222,0.33177685516020744,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
choose_c12_if_unstable,1.006807561022651,1.0078736281140066,1.0678924051139516,12,27,1.0242310186123496,1.446818535177853,1.8701276188981741,"[0.942283406080726, 1.0895991677235792]",-6.424979554085077e-08,0.004702756992218646,0.36624722319070163,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
count_weighted_8_12_17,1.037856812008766,1.0437852056481232,1.0983425665788376,11,27,1.0422982752765455,1.4957639403835417,2.0562660260828287,"[0.9485640679290321, 1.1547878686650064]",-5.9558803767084324e-08,0.004602615828626607,0.34719041398352596,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
inverse_variance_proxy,1.0257316344014549,1.0297612198213921,1.0828643324068266,12,27,1.0069376826693421,1.4268058170150564,2.011050927746556,"[0.9455733083936977, 1.1316311693036798]",-5.869055726244592e-08,0.004489245675985618,0.3469214853345336,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
bounded_aitken,1.0347558750741124,1.0401986606069238,1.089973133488498,12,27,1.0172169437750642,1.4057013527357467,2.8487322268484436,"[0.9204005308224249, 1.1878698245594286]",-5.422485920366128e-08,0.004341478192841404,0.3266171972063531,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
bounded_richardson,1.1297287572201709,1.1500443384415366,1.1967006443846169,11,27,1.1019206498517191,1.8219869367668406,2.5263344427200525,"[0.9796585993081606, 1.2846692279291567]",-5.420576506422418e-08,0.004778017341184846,0.2811798530402236,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
trimmed_basis_mean,1.025036497191414,1.0289572238143272,1.087188386668406,14,27,0.9604647991398513,1.6227016376802017,2.0960282202844334,"[0.9362945512979141, 1.124664219582065]",-5.928640069584903e-08,0.00455793727497359,0.32797327877023574,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
median_of_groups,1.044506441906066,1.0514761705521363,1.0976316873573184,13,27,1.0508392914655074,1.4737448232468051,2.063928289495672,"[0.9759621453311524, 1.1415201855779007]",-5.863473697595099e-08,0.00463705313127492,0.33602407305875953,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
paired2_substitute,1.1802982397461446,1.2085330244779193,1.2270406281317672,9,27,1.0856146827190847,1.6259388049308245,3.666658918880574,"[1.0647278280071695, 1.34292181054241]",9.431986104612051e-10,0.001228707027598316,-0.006931853618253631,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
rule_A,1.1112717766199558,1.1286969864501275,1.145805133701315,10,27,1.0285530801767135,1.5554227674893333,2.942282701231545,"[1.0151991699859308, 1.2392328697912067]",-1.5675193469886497e-08,0.001671920700218635,0.14887691758595964,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
rule_B,1.0697849497094802,1.0807133039482115,1.1356023598541256,12,27,1.0131380658943372,1.7493895313606984,2.942282701231545,"[0.9869674704198688, 1.165629036209182]",-2.700192253940809e-08,0.002349499231620799,0.20666355442837883,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
rule_C,1.0872365868643028,1.1008978752624403,1.1058995498364947,10,27,1.0285530801767135,1.5554227674893333,1.8701276188981741,"[1.0207163190835566, 1.1574358470879456]",-2.8900914326525217e-08,0.0025929227279078873,0.20156427892606063,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
rule_D_paired,1.0398133733244834,1.046048165338235,1.1132768906359587,12,27,1.0242310186123496,1.39227384753111,2.942282701231545,"[0.9355314143970948, 1.1582342348282597]",-4.334011623152974e-08,0.003416281861115178,0.2770216702577028,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
oracle_nested_chooser,0.8177617106135593,0.7892231132431289,0.8605589900172922,22,27,0.8510971627687384,1.0993030990966948,1.4649239506724485,"[0.7692309565009067, 0.8882319503097498]",-7.447858407356406e-08,0.0036960320771301505,0.45151137836297933,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
oracle_benefit_gate,0.9425899849731573,0.9335995510232038,0.9723928960877181,15,27,0.9501175660798215,1.1820893954479887,1.7295337056440916,"[0.8721912655316811, 1.0128780979147103]",-5.067345913433233e-08,0.0027949281217257813,0.28818526048275833,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['development'],development
zero,1.1600282673519404,1.1927466782438059,1.2119854522862066,4,12,1.179345680783401,1.5195926519904106,2.077141002443204,"[0.9619915769881411, 1.4476240964604792]",0.0,0.0,0.0,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
c2,2.2746523139352903,2.535260010573571,2.578998805690486,3,12,2.4411323098879203,3.621836992919522,6.954516188037176,"[1.5350718213813408, 2.6339690977221535]",-1.1193269611894329e-07,0.013549518765626415,0.11044071790413597,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
c4,1.3745380066317887,1.4511137803896168,1.6735965676804667,6,12,1.0936050333511758,3.438353983899101,4.119903617505591,"[1.0857030177205687, 1.7834633379204319]",-1.8639679934438788e-07,0.010523606101309221,0.26175400382257874,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
c8,1.1768083930534656,1.212957566876183,1.360504396448101,6,12,0.968828393696436,2.624791880033064,2.6613866917637647,"[0.7467366410849413, 2.1954867944675716]",-1.3074377932983724e-07,0.007802648400988242,0.2726614611212474,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
c12,1.1112412786253782,1.1339849971097928,1.2573719908047722,5,12,1.1491692625402863,2.1253735977479304,2.3344437345833637,"[0.7332404303565366, 1.8818322636580165]",-1.4519148550220415e-07,0.0076912250219074016,0.2816922665220058,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
c17,1.0791489961559853,1.0953313208212572,1.2613789729518918,6,12,1.0864311210930933,1.9081515332991401,3.3465574647635363,"[0.738274340863714, 1.87150105831543]",-1.1319832972614758e-07,0.006159960702876729,0.2863950919777087,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
choose_c12_if_unstable,1.1016998002943355,1.1224927258737418,1.2469156338969067,6,12,1.0891990087177474,2.1253735977479304,2.3344437345833637,"[0.728180374156052, 1.8818322636580165]",-1.4373894783717638e-07,0.00757926994607593,0.279532871009659,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
count_weighted_8_12_17,1.0670313506831308,1.0807361749031157,1.226693372955024,6,12,1.0545484991014238,2.0237731197780056,2.6930296491937282,"[0.7117641673916617, 1.886758461792171]",-1.2736809908134208e-07,0.006575370271381254,0.30333948106420455,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
inverse_variance_proxy,1.0626378076353495,1.075444354637896,1.2253543874746489,6,12,1.0687161576453792,1.97036111953434,2.801888610007195,"[0.7147584251409573, 1.8628792738947146]",-1.247273502621401e-07,0.006434617101151822,0.3008954613573959,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
bounded_aitken,1.0458540724756593,1.055229118579385,1.2294021254775152,6,12,1.0892179477425885,1.9670376086588535,2.8352405267149208,"[0.730692607970769, 1.7241875304724492]",-1.2232970448563855e-07,0.006081423603212773,0.29083886255780955,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
bounded_richardson,1.15817405912062,1.1905133698210288,1.3592754558005016,4,12,1.211195125447429,2.1368585883543174,3.677693528899721,"[0.8342967853936728, 1.8656168340367485]",-1.1050692962652334e-07,0.006864025008813675,0.2585993612085477,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
trimmed_basis_mean,1.0312174992950736,1.0376000402414578,1.2299278837031007,5,12,1.1562221261051395,2.0987521238193625,2.754810724375305,"[0.7388394829408705, 1.6506414225095027]",-1.2888901639390191e-07,0.00625273062449384,0.3054765569904641,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
median_of_groups,1.020522847227892,1.0247188243473349,1.2151188928906755,5,12,1.1655308181237363,1.8683809920041194,2.8895651464326675,"[0.7347316586627942, 1.617612506919621]",-1.340919420790145e-07,0.006387304469506299,0.32154527091149687,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
paired2_substitute,1.1818012891010585,1.2189712802276744,1.1974065742708684,3,12,1.1883017356627485,1.6850422241525573,2.12534330091606,"[0.8789808497306995, 1.5075704236357648]",6.123488849384092e-10,0.0015607605158257734,0.10101997753261284,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
rule_A,1.2467492043125756,1.297198053053684,1.3492524837407054,3,12,1.2530419077778086,1.9081515332991401,2.077141002443204,"[1.0816228467446263, 1.6491195722498275]",4.09517362933576e-09,0.002026440544952725,-0.01406098923693304,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
rule_B,1.224453861428614,1.270344339317352,1.3753763512737498,4,12,1.2530419077778086,1.9081515332991401,3.3465574647635363,"[0.912253701924474, 1.853486479190365]",-1.9509696347687735e-08,0.0035079546887786636,0.09776824391775872,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
rule_C,1.2084838244534588,1.25110916524887,1.3011252569840832,4,12,1.2368361401640233,1.9081515332991401,2.077141002443204,"[0.9595108746835987, 1.6157716017756762]",-1.1782730269997898e-08,0.0024985021648119524,0.04699918568764438,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
rule_D_paired,1.1243311812818928,1.1497511820302966,1.2648335757105256,7,12,0.9687671186030213,1.9081515332991401,3.3465574647635363,"[0.7212935475541077, 1.8457554123711506]",-8.930090219074125e-08,0.005181581484389288,0.23728096265271412,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
oracle_nested_chooser,0.7714286261510725,0.7246963065961743,0.8677578733628936,8,12,0.7915379767294566,1.2647448140227646,2.077141002443204,"[0.5901242093954522, 1.101183757989677]",-2.2076450895448275e-07,0.005852183756664173,0.497639337270571,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
oracle_benefit_gate,0.9152117522404201,0.897876460326659,1.0183272363040323,7,12,0.9489319813644832,1.5195926519904106,2.077141002443204,"[0.6890667956175537, 1.404352417478593]",-1.306993485977844e-07,0.0035458194761237246,0.3335547971605537,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['calibration'],calibration
zero,1.153479545313918,1.2003122574332226,1.1947621756078355,3,15,1.2175239975405507,1.5190565682308517,1.9550153276216218,"[1.0534523393647963, 1.3134519007193013]",0.0,0.0,0.0,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
c2,3.7421321378717973,4.578865689195369,4.47421314783106,0,15,3.2608875275951754,10.038981102633729,14.412776928413203,"[2.218359344438255, 6.519393885744778]",-4.28086117086936e-08,0.012960920661841476,0.0633708306007478,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
c4,2.2527890527699013,2.6350648077220247,2.4866980502770817,0,15,2.060360068420211,4.873387922778411,6.046988908355709,"[1.599355106620523, 2.9735418097390363]",-2.0835722153308327e-08,0.008885192052345947,0.08280379336048314,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
c8,1.3996520269473465,1.5216017518285265,1.580838068691905,3,15,1.5159973818764458,2.2317611100306856,3.164577606618758,"[0.977361009928389, 1.8979993130497033]",-7.394101653665879e-08,0.0069844449314437574,0.22030491184966874,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
c12,1.42488836317514,1.5545386977179207,1.4787674237086263,3,15,1.31038570433565,2.0529568123672624,2.312199727725604,"[1.2299644733959354, 1.6404818376288273]",-3.101733858750511e-08,0.005750499032503938,0.1323319262860357,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
c17,1.3663545793761873,1.4781439289890048,1.3653209289381474,4,15,1.3770907667616288,1.7507673448093248,2.3095914448150365,"[1.2009993217704935, 1.6110443770251357]",-1.6271267378788392e-08,0.004608369429332581,0.09317653363651683,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
choose_c12_if_unstable,1.3861043707325884,1.5039201670039384,1.4261324414376777,4,15,1.3239096459217379,1.8860778968697844,2.312199727725604,"[1.210661546997062, 1.6271456669749298]",-3.731688140999513e-08,0.005797265670603509,0.14070243656733394,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
count_weighted_8_12_17,1.3008804237180598,1.3926910049750008,1.3478255746183383,4,15,1.3598339758780342,1.8316793843177666,2.252303271329611,"[1.0709948624824293, 1.5474445111461006]",-3.352291191304687e-08,0.005090777709218298,0.14974236120770293,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
inverse_variance_proxy,1.3133525296929838,1.4089688464142205,1.34292641719489,4,15,1.357224546175139,1.8147594621723866,2.2590843668135787,"[1.104432197806512, 1.5510576571464227]",-2.7970056513916978e-08,0.0049057993067145025,0.13806815792548843,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
bounded_aitken,1.465236427635844,1.6071985610153696,1.475831617831539,3,15,1.613011855177921,1.9132066126383378,2.3074574522076037,"[1.2873504024394884, 1.7438255402778107]",-4.638617192581245e-09,0.004721775032642633,0.010265937406457785,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
bounded_richardson,1.6066954899637254,1.7918224081301635,1.56306943252029,2,15,1.42434855866185,1.991820208239886,2.499847286586898,"[1.4683999319316987, 1.8024180978511466]",2.079836432602242e-09,0.005169041426641473,0.017662565544392588,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
trimmed_basis_mean,1.3659105403109624,1.4775643959485467,1.4018494335163776,3,15,1.3559694402065456,1.8058353142443784,2.3797422879390178,"[1.146072321826743, 1.6889508490345895]",-1.5799417675488343e-08,0.00466078874860272,0.09045474756509814,0,No added propagation; reductions are sub-million-scale. Official FlopScope not available in this sandbox.,['validation'],validation
