network_id,rotation_a,rotation_b,kind,mean_angle_deg,max_angle_deg,projector_distance
4400,3,11,exact,53.736158141613544,83.76534433831301,1.1498574940328714
4400,3,11,legal,3.25647930300459,3.73139146191216,0.006590290795050802
4400,3,97,exact,58.13505897864771,85.26301290932092,1.2585539522417846
4400,3,97,legal,1.9876604296183364,2.213855386489734,0.002437091745572717
4400,11,97,exact,36.516394460840125,63.58944023542236,0.8290724649449202
4400,11,97,legal,2.65465550557572,3.208542317390429,0.004476425734983636
4401,3,11,exact,28.90850557774484,35.05219895950559,0.4795761181170868
4401,3,11,legal,3.548667156380298,4.734348239378256,0.008512115124264641
4401,3,97,exact,50.55807316878597,59.068960738973914,1.1843526803736468
4401,3,97,legal,2.9529342937834375,4.398460541174986,0.006573715554958781
4401,11,97,exact,37.81727138306246,45.5624597343193,0.7609064684813216
4401,11,97,legal,2.486767765060402,3.421528045507498,0.0042954355078579365
4402,3,11,exact,30.985528890291846,50.69659710906412,0.6369942266058553
4402,3,11,legal,3.0843951194646277,3.568347769787201,0.00593221425671131
4402,3,97,exact,40.75027740916826,63.05642507124331,0.8947849411120563
4402,3,97,legal,2.706000406584848,3.4697091970473863,0.004811500510592648
4402,11,97,exact,52.61388708313777,79.4635551232047,1.1554988229758802
4402,11,97,legal,1.6420149873683503,2.544733399323801,0.0021377868717482595
4403,3,11,exact,28.519276934328765,48.02432700790619,0.5772350043216732
4403,3,11,legal,1.587512871634998,2.05369045607694,0.0016671927250926366
4403,3,97,exact,38.58081997303336,65.05638623143659,0.8661246029212777
4403,3,97,legal,1.1889787457817258,1.2741454782038457,0.0008655488728932514
4403,11,97,exact,30.839570139556457,47.302297125533464,0.6017915213255007
4403,11,97,legal,1.5941421618127742,1.9772268295396693,0.0016371103169166012
4404,3,11,exact,59.0297700732676,79.04414268963986,1.3601870203336723
4404,3,11,legal,1.4025597013069584,1.9053187980008295,0.001352037210757162
4404,3,97,exact,17.722119795642694,27.761147747061333,0.2348312644392314
4404,3,97,legal,1.9720503969023708,2.9103253290737583,0.0029033961375288797
4404,11,97,exact,64.54915006219777,77.62377917709584,1.5661048528050252
4404,11,97,legal,1.2956659317620935,1.6000968619336455,0.0010789833019806405
4405,3,11,exact,62.87749290005863,81.21248423815322,1.4686766576638755
4405,3,11,legal,1.5272928399363273,2.121380027338518,0.0016354887886087521
4405,3,97,exact,19.2785648283594,24.317411277996086,0.23007792195807242
4405,3,97,legal,1.8032980944373511,1.9676921445977624,0.0019969391212650844
4405,11,97,exact,59.91359289712352,79.5992145195217,1.384504990327667
4405,11,97,legal,2.4632390892857634,3.2795688619413,0.004098747451289686
4406,3,11,exact,54.066482441315756,78.1364983332455,1.207683121234298
4406,3,11,legal,1.2245408488862748,1.6612282916678474,0.0010294789663227721
4406,3,97,exact,61.01110013392174,79.226295460364,1.4266262174240807
4406,3,97,legal,1.459729643292284,2.0118179543905814,0.0014833321698823898
4406,11,97,exact,33.27257867502548,52.46282676625726,0.6879853537261982
4406,11,97,legal,1.4702355090701262,1.5361165444045382,0.0013192691968004766
4407,3,11,exact,39.08948052153025,61.26069033526962,0.8534923903733826
4407,3,11,legal,1.9655526316995093,2.5042109030038753,0.002529143008856094
4407,3,97,exact,35.12257943742967,58.26790143622778,0.7664444434855677
4407,3,97,legal,2.121765753176506,2.9153617068310234,0.003124071094751546
4407,11,97,exact,43.66085765682324,80.59474907109389,0.9870164361914409
4407,11,97,legal,3.372030815422098,4.098867286383653,0.0072389755932023014
4408,3,11,exact,53.41807190350893,74.57867888311776,1.2141513407403846
4408,3,11,legal,4.51809016763908,6.894040036275124,0.015805224662883255
4408,3,97,exact,54.08210018484023,79.98596199308092,1.1927504075974458
4408,3,97,legal,4.465759451947603,7.673692548023766,0.01831243668953486
4408,11,97,exact,40.66288846671838,64.8692826658587,0.8998944200994601
4408,11,97,legal,1.5443023625265409,1.9382111559477004,0.001546986549718632
4409,3,11,exact,26.681874796346175,42.429385930838635,0.49117465579430375
4409,3,11,legal,0.8638109741947616,1.0389320363457786,0.00047323304213708894
4409,3,97,exact,15.497463477303777,25.02221368266234,0.18973069359407924
4409,3,97,legal,0.9452165963371465,1.1497682609829354,0.0005697392409456103
4409,11,97,exact,30.78878646384325,56.484475076016736,0.70299699236433
4409,11,97,legal,1.0497293305238828,1.2841403892566141,0.0007047139603280073
4410,3,11,exact,62.68642455055003,84.95254178718352,1.4126686641779103
4410,3,11,legal,4.227909511093847,6.942241747568923,0.015306939092796013
4410,3,97,exact,49.08206909976171,73.3678270535002,1.0939654454500256
4410,3,97,legal,4.118916351881611,6.200138055839677,0.012928677364072438
4410,11,97,exact,48.26187680816972,79.18976355364555,1.05359141636549
4410,11,97,legal,1.4974211913995181,1.8306047148053846,0.0014332969418324737
4411,3,11,exact,60.52383482827857,84.55461043084887,1.344692871750792
4411,3,11,legal,1.997696046899529,2.270965665042475,0.002475727412434292
4411,3,97,exact,55.48544314409418,65.84684219290011,1.3347389961073899
4411,3,97,legal,2.7945308530855275,3.3130723923358234,0.004917019764108188
4411,11,97,exact,54.62807575185286,88.95720387351867,1.1200211819646926
4411,11,97,legal,2.9877287522195193,3.2143787000267885,0.005464547685917642
4412,3,11,exact,11.3029812634175,13.957108760685038,0.0807889066917411
