network_id,rotation,baseline_urisk,baseline_pmse,target_noise_mse,anchor_half_correction_relerr,seconds,anchor_half_correction_cosine,zero_urisk,zero_pmse,full_exact_lower_urisk,full_exact_lower_pmse,exact_rank1_urisk,exact_rank1_pmse,exact_rank2_urisk,exact_rank2_pmse,exact_rank4_urisk,exact_rank4_pmse,exact_rank8_urisk,exact_rank8_pmse,exact_rank12_urisk,exact_rank12_pmse,legal_oracle_coeff_urisk,legal_oracle_coeff_pmse,legal_predicted_coeff_urisk,legal_predicted_coeff_pmse,exact_subspace_predicted_coeff_urisk,exact_subspace_predicted_coeff_pmse,direct_anchor_vector_learner_urisk,direct_anchor_vector_learner_pmse,frozen_template_learned_scalar_urisk,frozen_template_learned_scalar_pmse,pooled_rank_urisk,pooled_rank_pmse,beta_oracle_coeff_urisk,beta_oracle_coeff_pmse,fold_oracle_coeff_urisk,fold_oracle_coeff_pmse,softgate_oracle_coeff_urisk,softgate_oracle_coeff_pmse,weightprod_oracle_coeff_urisk,weightprod_oracle_coeff_pmse,union_oracle_coeff_urisk,union_oracle_coeff_pmse,codebook_legal_select_oracle_coeff_urisk,codebook_legal_select_oracle_coeff_pmse
4400,3,5.359342538225631e-07,7.682133056933724e-07,2.3227905187080954e-07,1.5897335384415234,3.9850306510925293,0.2260304035033508,5.359342538225631e-07,7.682133056933724e-07,2.8591025439363026e-07,5.181893062644398e-07,2.9806024903799923e-07,5.303393009088086e-07,2.643024887387721e-07,4.965815406095814e-07,3.299633343647953e-07,5.622423862356047e-07,2.7587811952927014e-07,5.081571714000797e-07,3.1489085391682106e-07,5.471699057876305e-07,2.637072797672993e-07,4.959863316381087e-07,7.448609204125169e-07,9.771399722833263e-07,8.684477201570923e-07,1.1007267720279017e-06,6.819421270634273e-07,9.142211789342367e-07,5.798994266034537e-07,8.121784784742631e-07,4.887490935706982e-07,7.210281454415077e-07,2.637072797672993e-07,4.959863316381087e-07,3.8578537975255837e-07,6.180644316233678e-07,4.786921280577217e-07,7.109711799285311e-07,5.299881402485504e-07,7.622671921193597e-07,4.786921280577216e-07,7.109711799285311e-07,5.025729665085836e-07,7.34852018379393e-07
4400,11,8.923236416783005e-07,1.12460269354911e-06,2.3227905187080954e-07,1.1463491757759459,3.037064552307129,0.5147011391174734,8.923236416783005e-07,1.12460269354911e-06,2.6849893406260897e-07,5.007779859334185e-07,3.586921374724358e-07,5.909711893432454e-07,2.894014396638371e-07,5.216804915346464e-07,2.930141083934112e-07,5.252931602642205e-07,2.642514959505051e-07,4.965305478213146e-07,2.584715713605907e-07,4.907506232314002e-07,2.3330283324710025e-07,4.655818851179097e-07,1.131156340621717e-06,1.3634353924925264e-06,1.3074841750831584e-06,1.5397632269539678e-06,1.0227465693957785e-06,1.2550256212665879e-06,9.10854167221914e-07,1.1431332190927234e-06,7.795327768372309e-07,1.0118118287080405e-06,2.3330283324710025e-07,4.655818851179097e-07,1.799128565198499e-07,4.1219190839065946e-07,8.904521460546263e-07,1.1227311979254356e-06,8.885507683739947e-07,1.120829820244804e-06,8.904521460546263e-07,1.1227311979254356e-06,8.455722170556511e-07,1.0778512689264606e-06
4400,97,3.539978456929378e-07,5.862768975637474e-07,2.3227905187080954e-07,1.5183406772632824,2.5910868644714355,0.28603149587575777,3.539978456929378e-07,5.862768975637474e-07,2.4541284575915976e-07,4.776918976299694e-07,1.983127999427722e-07,4.3059185181358196e-07,2.128383615744284e-07,4.4511741344523815e-07,7.325780840144732e-08,3.055368602722569e-07,2.1063886597685202e-07,4.429179178476617e-07,2.1823057566281682e-07,4.5050962753362647e-07,9.035760402556478e-08,3.226366558963743e-07,5.449484120579024e-07,7.772274639287118e-07,6.414041240686556e-07,8.73683175939465e-07,5.024326691280558e-07,7.347117209988652e-07,4.056110156903249e-07,6.378900675611345e-07,3.358297274268314e-07,5.68108779297641e-07,9.035760402556478e-08,3.226366558963743e-07,1.427070762691157e-07,3.7498612813992527e-07,3.5105491520774007e-07,5.833339670785497e-07,3.5525707417837174e-07,5.875361260491813e-07,3.5105491520774007e-07,5.833339670785497e-07,3.4519193792945086e-07,5.774709898002605e-07
4401,3,8.672609170651567e-07,1.0560601072548495e-06,1.8879919018969247e-07,2.562634485443463,3.8771049976348877,-0.28595457092979537,8.672609170651567e-07,1.0560601072548495e-06,5.524932602690896e-07,7.412924504587816e-07,6.105408113295172e-07,7.993400015192099e-07,6.6421924810402e-07,8.530184382937126e-07,7.205153471967086e-07,9.093145373864011e-07,6.945019746118314e-07,8.833011648015236e-07,6.131109419844207e-07,8.019101321741128e-07,6.554605449015375e-07,8.442597350912304e-07,9.320609461724304e-07,1.120860136362123e-06,8.092698146104395e-07,9.980690048001321e-07,1.0519045814453426e-06,1.2407037716350355e-06,9.961928736817338e-07,1.1849920638714264e-06,7.733328101512676e-07,9.621320003409605e-07,6.554605449015375e-07,8.442597350912304e-07,7.415157515874975e-07,9.3031494177719e-07,8.835559769347582e-07,1.0723551671244512e-06,8.641343413987208e-07,1.0529335315884136e-06,8.835559769347593e-07,1.0723551671244522e-06,7.891058440965529e-07,9.779050342862455e-07
4401,11,6.377905844817955e-07,8.265897746714878e-07,1.8879919018969247e-07,1.8158109938223836,2.7047879695892334,0.09986099391854289,6.377905844817955e-07,8.265897746714878e-07,4.5719747032018584e-07,6.459966605098776e-07,4.0019431158191334e-07,5.889935017716059e-07,3.5827886985505353e-07,5.470780600447461e-07,3.9380732953208265e-07,5.826065197217751e-07,4.1128948081315877e-07,6.000886710028509e-07,4.0209873785240134e-07,5.908979280420934e-07,3.6639593891223244e-07,5.55195129101925e-07,6.870898088876328e-07,8.758889990773252e-07,5.800980262991647e-07,7.688972164888571e-07,8.130174032185071e-07,1.0018165934081996e-06,7.677167287781692e-07,9.565159189678616e-07,5.405920013152461e-07,7.293911915049388e-07,3.6639593891223244e-07,5.55195129101925e-07,3.923747478178397e-07,5.811739380075322e-07,6.32350464853046e-07,8.211496550427387e-07,6.260993639582856e-07,8.148985541479778e-07,6.32350464853046e-07,8.211496550427387e-07,5.564042592205108e-07,7.452034494102032e-07
4401,97,7.083052365684665e-07,8.971044267581587e-07,1.8879919018969247e-07,2.392918117484438,2.888021230697632,-0.19291329085138856,7.083052365684665e-07,8.971044267581587e-07,4.3188909831523675e-07,6.206882885049287e-07,3.6463110868251845e-07,5.534302988722107e-07,3.390945827117749e-07,5.27893772901467e-07,4.0686678157218056e-07,5.956659717618727e-07,3.696151582707116e-07,5.584143484604037e-07,3.9397511479435353e-07,5.827743049840455e-07,4.5151755396367497e-07,6.403167441533672e-07,7.366431591618064e-07,9.254423493514982e-07,5.478136228515268e-07,7.366128130412189e-07,8.848719012964387e-07,1.0736710914861309e-06,8.373752167039173e-07,1.0261744068936093e-06,6.266862787280542e-07,8.154854689177463e-07,4.5151755396367497e-07,6.403167441533672e-07,5.063891014927003e-07,6.951882916823925e-07,6.969507445122975e-07,8.857499347019895e-07,7.070193330409822e-07,8.958185232306743e-07,6.969507445122975e-07,8.857499347019895e-07,6.477236268936444e-07,8.365228170833365e-07
4402,3,8.909626165103358e-07,1.2356792715593693e-06,3.447166550490338e-07,1.0232980262004756,3.9132823944091797,0.5870887297830021,8.909626165103358e-07,1.2356792715593693e-06,1.9083423539557797e-07,5.355508904446122e-07,3.317877460938924e-07,6.765044011429264e-07,1.58138229699545e-07,5.028548847485788e-07,6.349665984836215e-08,4.0821331489739623e-07,1.588582570702979e-07,5.035749121193321e-07,1.8604938024854472e-07,5.307660352975788e-07,3.8057845357340693e-07,7.252951086224404e-07,8.2271806234892e-07,1.1674347173979537e-06,9.983628472898471e-07,1.3430795023388804e-06,1.0138190823044227e-06,1.3585357373534564e-06,1.0135345214512757e-06,1.3582511765003094e-06,6.677738702026639e-07,1.0124905252516976e-06,3.8057845357340693e-07,7.252951086224404e-07,1.7732033325541568e-07,5.220369883044496e-07,8.558149386449863e-07,1.20053159369402e-06,8.763848700662743e-07,1.2211015251153078e-06,8.558149386449863e-07,1.20053159369402e-06,8.017800704313443e-07,1.146496725480378e-06
4402,11,5.338356990912109e-07,8.785523541402449e-07,3.447166550490338e-07,1.3710555606646095,2.646402359008789,0.3609747454177015,5.338356990912109e-07,8.785523541402449e-07,2.2863066341780834e-07,5.733473184668426e-07,3.242566492009594e-07,6.68973304249994e-07,3.060801561825703e-07,6.507968112316048e-07,3.459828098970472e-07,6.906994649460817e-07,2.2940040017819379e-07,5.741170552272279e-07,2.471358668935214e-07,5.918525219425556e-07,1.775058452279116e-07,5.222225002769455e-07,4.871030435750817e-07,8.318196986241159e-07,5.903382579749214e-07,9.350549130239556e-07,6.557308099018557e-07,1.0004474649508898e-06,6.543778205978797e-07,9.990944756469139e-07,4.515303702385389e-07,7.962470252875733e-07,1.775058452279116e-07,5.222225002769455e-07,2.7804034664075565e-07,6.227570016897899e-07,5.276522061786749e-07,8.72368861227709e-07,5.234706483104812e-07,8.681873033595154e-07,5.276522061786749e-07,8.72368861227709e-07,5.134864233351724e-07,8.582030783842068e-07
4402,97,7.392610450014108e-07,1.0839777000504447e-06,3.447166550490338e-07,1.339381559589866,2.5736262798309326,0.38121195150535236,7.392610450014108e-07,1.0839777000504447e-06,2.3299963539581064e-07,5.77716290444845e-07,5.986929039006998e-07,9.43409558949734e-07,3.0351041716371614e-07,6.482270722127503e-07,2.370111100499384e-07,5.817277650989725e-07,2.7033780358588273e-07,6.150544586349169e-07,2.4667968645785414e-07,5.913963415068883e-07,4.6737073262797645e-07,8.1208738767701e-07,6.800452581187929e-07,1.0247619131678266e-06,7.353786375485069e-07,1.0800952925975406e-06,8.682320619517833e-07,1.2129487170008173e-06,8.642061697629881e-07,1.2089228248120219e-06,5.610363746031997e-07,9.057530296522336e-07,4.6737073262797645e-07,8.1208738767701e-07,2.6183253934492734e-07,6.065491943939614e-07,7.076743131710802e-07,1.052390968220114e-06,7.292822322226325e-07,1.0739988872716664e-06,7.076743131710802e-07,1.052390968220114e-06,6.80012653197877e-07,1.0247293082469107e-06
4403,3,-2.446550566543176e-06,7.151269465373066e-07,3.161677513080482e-06,0.8063920204697659,4.047003746032715,0.8309200360645257,-2.446550566543176e-06,7.151269465373066e-07,-2.3844500839737907e-06,7.772274291066918e-07,-2.4453778651460132e-06,7.162996479344691e-07,-2.4205536141338293e-06,7.411238989466532e-07,-2.425826205435855e-06,7.358513076446275e-07,-2.4244038768433154e-06,7.372736362371671e-07,-2.4236089082965675e-06,7.38068604783915e-07,-2.186077640429059e-06,9.755998726514234e-07,-2.4750609488522384e-06,6.866165642282444e-07,-2.6798937268270056e-06,4.817837862534768e-07,-2.3431760346947296e-06,8.185014783857525e-07,-2.3339782756272597e-06,8.276992374532229e-07,-2.3803207269231133e-06,7.813567861573696e-07,-2.186077640429059e-06,9.755998726514234e-07,-2.274060791400894e-06,8.876167216795885e-07,-2.36825387958212e-06,7.934236334983622e-07,-2.441657139290092e-06,7.200203737903901e-07,-2.368253879582119e-06,7.934236334983634e-07,-2.441926684829221e-06,7.197508282512619e-07
