network_id,rotation_a,rotation_b,kind,mean_angle_deg,max_angle_deg,projector_distance
4400,3,11,exact,32.27150907333625,51.914131806796846,0.6673076065429075
4400,3,11,legal,3.25647930300459,3.73139146191216,0.006590290795050802
4400,3,97,exact,42.34933152430345,70.9694835682139,0.9500041517943125
4400,3,97,legal,1.9876604296183364,2.213855386489734,0.002437091745572717
4400,11,97,exact,47.38832461446161,75.73626158625616,1.0457230851533568
4400,11,97,legal,2.65465550557572,3.208542317390429,0.004476425734983636
4401,3,11,exact,29.951528816120614,51.14552782980239,0.6296199892388508
4401,3,11,legal,3.548667156380298,4.734348239378256,0.008512115124264641
4401,3,97,exact,30.166776436895486,46.67840842762827,0.5850095695270958
4401,3,97,legal,2.9529342937834375,4.398460541174986,0.006573715554958781
4401,11,97,exact,21.55814988823186,23.156548954268928,0.27116804996336086
4401,11,97,legal,2.486767765060402,3.421528045507498,0.0042954355078579365
4402,3,11,exact,10.626678557543487,13.92028257103997,0.0741659696771988
4402,3,11,legal,3.0843951194646277,3.568347769787201,0.00593221425671131
4402,3,97,exact,10.919818085634082,12.874947963683956,0.07393213956876532
4402,3,97,legal,2.706000406584848,3.4697091970473863,0.004811500510592648
4402,11,97,exact,6.006136768381366,7.959735793930624,0.02417033847503003
4402,11,97,legal,1.6420149873683503,2.544733399323801,0.0021377868717482595
4403,3,11,exact,42.78511855654367,76.01778061247146,0.9691589774125389
4403,3,11,legal,1.587512871634998,2.05369045607694,0.0016671927250926366
4403,3,97,exact,13.995727854669147,19.835275760735303,0.13526375663564494
4403,3,97,legal,1.1889787457817258,1.2741454782038457,0.0008655488728932514
4403,11,97,exact,35.28760156041617,60.71796879865249,0.7900797559098143
4403,11,97,legal,1.5941421618127742,1.9772268295396693,0.0016371103169166012
4404,3,11,exact,19.215187071930444,23.092598455241767,0.22380016339851427
4404,3,11,legal,1.4025597013069584,1.9053187980008295,0.001352037210757162
4404,3,97,exact,17.479576293474654,25.871279872806056,0.21534994618633108
4404,3,97,legal,1.9720503969023708,2.9103253290737583,0.0029033961375288797
4404,11,97,exact,32.11389797770489,41.31411267827252,0.5874351703759055
4404,11,97,legal,1.2956659317620935,1.6000968619336455,0.0010789833019806405
4405,3,11,exact,42.14700874492057,72.06321195466059,0.9500365317040995
4405,3,11,legal,1.5272928399363273,2.121380027338518,0.0016354887886087521
4405,3,97,exact,15.758121803630253,17.33776117121235,0.14880363028626142
4405,3,97,legal,1.8032980944373511,1.9676921445977624,0.0019969391212650844
4405,11,97,exact,49.16156412078647,78.43488295318008,1.0755341161799172
4405,11,97,legal,2.4632390892857634,3.2795688619413,0.004098747451289686
4406,3,11,exact,8.11698762726996,11.604553519037408,0.046977871997173404
4406,3,11,legal,1.2245408488862748,1.6612282916678474,0.0010294789663227721
4406,3,97,exact,24.72879430462173,42.45878801325235,0.47055269920449483
4406,3,97,legal,1.459729643292284,2.0118179543905814,0.0014833321698823898
4406,11,97,exact,18.597167169398503,32.31826907084891,0.29304562968928716
4406,11,97,legal,1.4702355090701262,1.5361165444045382,0.0013192691968004766
4407,3,11,exact,41.304444711154574,61.5061759579612,0.9020394276085211
4407,3,11,legal,1.9655526316995093,2.5042109030038753,0.002529143008856094
4407,3,97,exact,38.32609303606268,58.96757200644779,0.8265165081540882
4407,3,97,legal,2.121765753176506,2.9153617068310234,0.003124071094751546
4407,11,97,exact,11.2759247525271,15.893090963546578,0.08843587566599465
4407,11,97,legal,3.372030815422098,4.098867286383653,0.0072389755932023014
