split,method,raw_ratio,noise_corrected_ratio,wins,n,p90,worst,ci_low,ci_high
development,feature_ridge,0.7754656342144267,0.7447264755330285,7,12,1.5450992544204762,1.6741075839371193,0.6910945930918011,0.9168575121173854
development,global_linear,0.8062273484231919,0.7796995237666169,9,12,1.081722448084948,1.5820308978266788,0.7036573547728835,0.9445849120523587
development,global_nonnegative,0.8149272382021546,0.7895904441100586,8,12,1.185371877950498,1.425697044281644,0.7351017493000646,0.9469476187248024
development,per_case_oracle_span,0.4380640364584708,0.36113399195656254,12,12,0.6961293151940803,0.7816639421789184,0.4101876856856011,0.4755284193675985
validation,feature_ridge,0.8329128736306903,0.8053937962802129,6,12,1.7975110742915303,1.8607067469748053,0.5654425043280168,1.2500578847252728
validation,global_linear,0.7250704160177931,0.6797897971457967,7,12,1.507771112765624,1.7534731768381255,0.47082081561405376,1.0935898562835937
validation,global_nonnegative,0.6745887107185619,0.620993807059314,7,12,1.243059640159398,1.5230735181888273,0.48082408201610266,1.0146321490606933
validation,per_case_oracle_span,0.39953242474214756,0.3006360345231138,12,12,0.8364919626188991,0.8636558386021522,0.25100189281700475,0.6950505679845197
confirmation,feature_ridge,0.8717253596948766,0.861456880896513,10,12,1.1094996363777152,3.0547002112765624,0.6692067389659893,1.0129701245514369
confirmation,global_linear,0.7779111634803151,0.7601327896432843,11,12,0.9228547584049367,1.6973537182835696,0.6883308264154537,0.8308821721966461
confirmation,global_nonnegative,0.8603134915994021,0.8491314844114167,10,12,1.1111919659064073,1.8452828777123504,0.6724400503398245,0.9944894992157529
confirmation,per_case_oracle_span,0.4541480192950064,0.41045216891040187,11,12,0.7849967032407603,1.0342019105257254,0.42662411723961663,0.5223286573495222
