split,seed,effective_rank,rank90,rank95,max_abs_offdiag_cosine,mean_abs_offdiag_cosine,eigfrac1,eigfrac2,eigfrac3,eigfrac4,eigfrac5,eigfrac6
development,910001,4.296254409742406,5,5,0.27690483431690305,0.05570778783052353,0.36783218270817297,0.20563513086681393,0.16640119657621041,0.1352627590739316,0.0888265623631318,0.036042168411739454
development,910003,3.209960773901396,4,5,0.5033818140123735,0.09694213220936881,0.48776705818974947,0.18237664314686414,0.15186109731231082,0.12360022438053163,0.04353958928061173,0.010855387689932331
development,910009,3.558147264221194,4,5,0.40559815536041494,0.10755525394172656,0.43410818809601665,0.22451091596810505,0.17686408704301113,0.08880681448908756,0.04670128308720705,0.02900871131657251
development,910019,3.657522697236039,4,5,0.3557150130990589,0.09801551145654483,0.40466898346672087,0.26147475829213124,0.1738016714093904,0.09335246044006552,0.041620825848221014,0.025081300543471054
validation,910033,2.800083195954042,4,4,0.24994462176587623,0.06321289832133463,0.5398587235754817,0.18330054678361565,0.1630161814709661,0.06550507203823429,0.029314254855485153,0.0190052212762172
validation,910043,4.5353246952761666,5,5,0.22646090210476955,0.07620911637329272,0.30791337148789283,0.2647173773296743,0.17320835720607716,0.1320717096419411,0.07986598505762152,0.042223199276792994
validation,910051,3.4867131832874785,4,5,0.3146956103636716,0.10584400043236003,0.4377066616077302,0.2479680027799917,0.1489197458011798,0.09291913727922707,0.04827662483573704,0.024209827696134036
validation,910067,4.584507856901271,5,5,0.3997815269071494,0.07582999963142688,0.3148840893301119,0.24513246130956953,0.1832998203296923,0.11416799241576642,0.10362678520030463,0.038888851414555205
confirmation,910079,3.808342176052452,4,5,0.41413881262732627,0.10391250463072337,0.4076623969801147,0.2338397574545265,0.14653829973098925,0.12780434166062066,0.055555600575090264,0.028599603598658655
confirmation,910081,3.460635825384475,4,5,0.32751232743582753,0.11257827018207928,0.4225820688304799,0.28140982116021634,0.14881379359318375,0.08100389889083709,0.04533009384305635,0.020860323682226515
confirmation,910089,4.631871336791325,5,5,0.1444162079383858,0.04777106089635564,0.27125212378431085,0.24808114666402295,0.23471115750155053,0.14032237510842846,0.0672146709394343,0.03841852600225293
confirmation,910103,4.5440212018712,5,5,0.2226180758287849,0.08037305496188105,0.3331589216150325,0.2372130933475957,0.15606996624157446,0.13148712411315855,0.09411909173499226,0.04795180294764657
