design,arm,alpha,group,n,pooled_raw_ratio,mean_raw_ratio,wins,p90,worst,pooled_cross_ratio,mean_downstream_anchor_error_ratio,mean_unweighted_anchor_error_ratio,mean_cosine
full129,analytic_cov,-4.0,train_dev,16,0.9999963984172673,0.999997044262292,5,1.000012609146148,1.0000149933748295,0.9999959867507392,1.0000008200695853,1.0000003303165763,-0.11121347602576961
full129,analytic_cov,-4.0,calib_dev,8,0.9999993359373698,1.0000013006561774,3,1.0000177469943727,1.0000198407660243,0.9999992698101466,0.9999995762221741,0.9999998703818452,0.005227373316000691
full129,analytic_cov,-4.0,validation,8,1.0000029362280567,1.0000058503748706,3,1.0000272544706288,1.0000708445210726,1.0000031327709558,0.999998429784517,0.9999997517587891,-0.03289543072569645
full129,analytic_cov,-4.0,expansion,8,1.0000057337833055,1.000005603835125,4,1.0000246734119536,1.000047521228352,1.000006075463559,0.9999985062637853,0.9999996314989452,-0.04859826818626065
full129,analytic_cov,-4.0,rotation,4,1.0000073890708436,1.0000082503073164,0,1.0000134117767558,1.0000144834382887,1.0000077418644167,0.9999976805208661,0.9999991535312535,-0.3999663649011863
full129,analytic_cov,-4.0,rotation_expansion,8,0.9999984461087811,0.999997546001101,5,1.000008338755214,1.0000151546999771,0.9999983505313388,1.000000681311539,1.0000000576000905,0.028486108523237297
full129,analytic_mean,1.4897351037092124,train_dev,16,0.9292659263427896,0.9688371543240564,12,1.081440565966607,1.741648969328138,0.9211809113184154,0.9532748944891338,0.9643480464373669,0.30895102464377294
full129,analytic_mean,1.4897351037092124,calib_dev,8,1.0581140513829292,1.0686852447202702,3,1.3365055135577022,1.3604561143457965,1.063901036926328,1.0357047086618016,1.0126691771756375,-0.029619129921097456
full129,analytic_mean,1.4897351037092124,validation,8,0.8513513744481176,0.890886929102596,7,1.0291305168115372,1.1107239369483244,0.841401250959223,0.9099471686897316,0.9628185131032436,0.3426725303474421
full129,analytic_mean,1.4897351037092124,expansion,8,0.8594739327097508,0.8983700202140052,4,1.0756091425376055,1.1147207094164244,0.8510998837296047,0.9135890175814159,0.9639129549814738,0.2718886089519967
full129,analytic_mean,1.4897351037092124,rotation,4,1.088987306219189,1.1338649065732707,0,1.201138416685331,1.208267336916008,1.0932360338835303,1.0909557010924211,1.0174111351212145,-0.21419626893271176
full129,analytic_mean,1.4897351037092124,rotation_expansion,8,1.1232929832473464,1.1048395272217184,3,1.3787812128366368,1.5767574349629172,1.1308765436958925,1.0625384687540946,1.0068562223493154,-0.1170578090623314
full129,analytic_total,1.4897344349828177,train_dev,16,0.9292666288743124,0.968836349179895,12,1.0814501298796941,1.7416120801664243,0.9211816941503878,0.9532747239695121,0.9643480359486237,0.308951156489339
