ORDER 16383 QN 16377 maxrem 1.582221534e-19 negQ 0 negU 0 negL2 0 negLog 0 incU 7042
mins Q[16376]=1.160095932830763410e-10 U[16376]=4.307425938593211136e-10 L[16379]=4.338656762587839242e-10 log[16376]=4.970902285967965438e-09
0 1.067560096579269424367e-03 3.267353817050227917222e-02 -8.397370495058685897476e-07 -6.842379517884709915539e+00
1 9.145601548549702858371e-04 1.399542574915618733117e-02 -3.789073426525377780449e-04 8.566825959357703939700e-01
2 8.074115106985444001565e-04 9.358330977305960116588e-03 5.383633269660316197902e-05 3.893622740585375767105e-01
3 7.106427726066790130171e-04 6.866338099158388951662e-03 3.265755621602682836629e-02 2.273228732396105441398e-01
4 6.380406887153950543742e-04 5.482535715818013393612e-03 1.397766397062865156624e-02 1.617976757435548841672e-01
5 5.717405955053336026522e-04 4.434243115477126943207e-03 9.340137218079152555918e-03 1.154380930834612230639e-01
6 5.197850444373583782256e-04 3.763067165582052527289e-03 6.851149230718263274169e-03 9.320184231289225815171e-02
7 4.718362049250963181310e-04 3.186380251819643582671e-03 5.468200439102085850482e-03 7.223771303829409212038e-02
8 4.331133258555388164666e-04 2.793385118589867655174e-03 4.422157636226810508996e-03 6.193215849798866078356e-02
9 3.970485004728181379441e-04 2.431969475962448427224e-03 3.751727766299489574208e-03 5.031082206149359170323e-02
10 3.672712415776683316578e-04 2.176580309253670690405e-03 3.176633956665278507481e-03 4.466417555642158338013e-02
11 3.393206413231628947440e-04 1.931313715461626993058e-03 2.784212254837104530903e-03 3.741944013238625646456e-02
12 3.158474585652722811647e-04 1.753771876712646093189e-03 2.423952679265726349074e-03 3.398003914919286300845e-02
13 2.936663371790351715970e-04 1.578001862545751896397e-03 2.169001879961054116806e-03 2.910207925629287311085e-02
14 2.747856577819249341389e-04 1.448550247388948052859e-03 1.924600118925714745342e-03 2.684783072339438997087e-02
15 2.568407998772321867109e-04 1.317440234986804553517e-03 1.747398247320612774881e-03 2.337889977902199964024e-02
16 2.413977044246853191391e-04 1.219619342732796358616e-03 1.572293080882471858880e-03 2.181973532802676530260e-02
17 2.266457879203358718074e-04 1.118762185303168199724e-03 1.443109737043236787662e-03 1.924975633639793540302e-02
18 2.138345280965537937744e-04 1.042752725415996607053e-03 1.312522832972421858075e-03 1.812598390963457011964e-02
19 2.015421003405907735875e-04 9.632408969038804657350e-04 1.214917166533439506694e-03 1.616036303793451581602e-02
100 1.740509244781380153741e-05 6.377662803104936434461e-05 6.709048438329600699582e-05 9.116879713887768849147e-04
500 5.902644086234762444257e-07 2.189098122557557095306e-06 2.205350468703345462864e-06 3.251027332266741065790e-05
1000 1.158383791891462832047e-07 4.406929886650997690500e-07 4.411231809620777676136e-07 6.720427973510073369911e-06
2000 2.164871417669660539919e-08 8.403970926261925072462e-08 8.383684365823675619085e-08 1.307580214196380338008e-06
4000 3.938694673352286742601e-09 1.549151959403802952337e-08 1.542697732529122559065e-08 2.441662696717475309319e-07
8000 7.065407686448475556207e-10 2.800043682307444786680e-09 2.785874589124791585056e-09 4.446292997040467934508e-08
