case,fraction,reciprocal,max_compute_fraction_for_4.34x,logical_status
v18 T47,0.505177125470747,1.97950372172563150,0.456106848323878227,certified cubature floor
Prompt target A,0.769230769230769231,1.30000000000000000,0.299539170506912442,target
D47,0.791012289100087585,1.26420286230656650,0.291290982098287213,certified cubature floor
D63,0.840790613668210800,1.18935675986817775,0.274045336375156163,certified cubature floor
L88,0.8812643465246887,1.13473329988164330,0.261459285687014585,numerical discovery only
D123,0.909436093131522650,1.09958248584200407,0.253360019779263611,certified cubature floor
Prompt target B,0.909090909090909091,1.10000000000000000,0.253456221198156682,target
Degree-123 CP ceiling,0.944932965937273425,1.05827612756435681,,upper ceiling on proof method; not a cubature floor
1.05 target,0.952380952380952381,1.05000000000000000,0.241935483870967742,target
Kerdock reference,1,1,0.230414746543778802,reference
