CRIT	0	-99727893490099402502424916405650773887282506729427396571085444072528219280489187/100000000000000000000000000000000000000000000000000000000000000000000000000000000	-98727893490099402502424916405650773887282506729427396571085444072528219280489187/100000000000000000000000000000000000000000000000000000000000000000000000000000000	max	-99227893490099402502424916405650773887282506729427396571085444072528219280489187/100000000000000000000000000000000000000000000000000000000000000000000000000000000	1/200
CRIT	1	-144940350257911067622630420603687740365669240947162467463175069371863702352741959/200000000000000000000000000000000000000000000000000000000000000000000000000000000	-140940350257911067622630420603687740365669240947162467463175069371863702352741959/200000000000000000000000000000000000000000000000000000000000000000000000000000000	min	-142940350257911067622630420603687740365669240947162467463175069371863702352741959/200000000000000000000000000000000000000000000000000000000000000000000000000000000	1/100
CRIT	2	-62724855312916344699825331682043113878951364731294359286854708766492067398183921/1000000000000000000000000000000000000000000000000000000000000000000000000000000000	-61724855312916344699825331682043113878951364731294359286854708766492067398183921/1000000000000000000000000000000000000000000000000000000000000000000000000000000000	max	-62224855312916344699825331682043113878951364731294359286854708766492067398183921/1000000000000000000000000000000000000000000000000000000000000000000000000000000000	1/2000
CRIT	3	20561206220754420756422761534584828354098957431679581289787091355215200342291831/10000000000000000000000000000000000000000000000000000000000000000000000000000000000	24561206220754420756422761534584828354098957431679581289787091355215200342291831/10000000000000000000000000000000000000000000000000000000000000000000000000000000000	min	22561206220754420756422761534584828354098957431679581289787091355215200342291831/10000000000000000000000000000000000000000000000000000000000000000000000000000000000	1/5000
CRIT	4	123571782713126200680775559127101223180796187720015367189208240836993041047171037/2000000000000000000000000000000000000000000000000000000000000000000000000000000000	125571782713126200680775559127101223180796187720015367189208240836993041047171037/2000000000000000000000000000000000000000000000000000000000000000000000000000000000	max	124571782713126200680775559127101223180796187720015367189208240836993041047171037/2000000000000000000000000000000000000000000000000000000000000000000000000000000000	1/2000
INFL	0	-4733032160414009/5000000000000000	-4533032160414009/5000000000000000	negative	-4633032160414009/5000000000000000	1/50
INFL	1	-51813713491761513/100000000000000000	-47813713491761513/100000000000000000	positive	-49813713491761513/100000000000000000	1/50
INFL	2	-3681931654866477/100000000000000000	-3081931654866477/100000000000000000	negative	-3381931654866477/100000000000000000	3/1000
INFL	3	1742403692258249/50000000000000000	2042403692258249/50000000000000000	positive	1892403692258249/50000000000000000	3/1000
END	left	-1	-9999999/10000000	negative
END	right	9999999/10000000	1	negative
TAIL	left_tail	-9999999/10000000	-99727893490099402502424916405650773887282506729427396571085444072528219280489187/100000000000000000000000000000000000000000000000000000000000000000000000000000000	positive
TAIL	right_tail	37/50	1	negative
