category,archive_name,size_bytes,sha256,test_status,repo_extracted_path,source_archive_path
proof,WHESTBENCH_COMPLETE_PROOF_PACKAGE_20260730.zip,10189239,0e91539943a1ed06fe45674acbfac8791a90d9a7b278d88b61b57a4e738ca9f3,ok,library_archive/bundles/proof/WHESTBENCH_COMPLETE_PROOF_PACKAGE_20260730,source-archives/proof/WHESTBENCH_COMPLETE_PROOF_PACKAGE_20260730.zip
proof,WHestBench_Agent_Review_Closure_20260730.zip,974626,3bbc59548833d16ed4c7cc73827d108146fe0c60a565b0c6e50fbf8b02e60bbf,ok,library_archive/bundles/proof/WHestBench_Agent_Review_Closure_20260730,source-archives/proof/WHestBench_Agent_Review_Closure_20260730.zip
proof,WHestBench_Agent_Review_Closure_Round2_20260730.zip,1549222,41de9877e56e386cbda5e857c38aff76c50ec15408a7422264dd2b0d6e50e4af,ok,library_archive/bundles/proof/WHestBench_Agent_Review_Closure_Round2_20260730,source-archives/proof/WHestBench_Agent_Review_Closure_Round2_20260730.zip
proof,WHestBench_Hostile_Disproof_Audit_20260730.zip,46652,5ffc341d25b9f1236c8e585c4c18ff29b54b32dd5e9dd508b39203bfc0b69f9e,ok,library_archive/bundles/proof/WHestBench_Hostile_Disproof_Audit_20260730,source-archives/proof/WHestBench_Hostile_Disproof_Audit_20260730.zip
proof,WHestBench_Math_Continuation_v23_20260730.zip,985054,ae3eee8070387b148311582892794acd9ba57530c4a7b025df7f955d93df52d3,ok,library_archive/bundles/proof/WHestBench_Math_Continuation_v23_20260730,source-archives/proof/WHestBench_Math_Continuation_v23_20260730.zip
proof,WHestBench_NonOverlap_Continuation_v25_20260730.zip,890815,e25f04af24968a1aeb6cd06942060d5fcd6ff3c3c5cc2ddc9fcc7b16ba43ea74,ok,library_archive/bundles/proof/WHestBench_NonOverlap_Continuation_v25_20260730,source-archives/proof/WHestBench_NonOverlap_Continuation_v25_20260730.zip
proof,WHestBench_Oracle_Proof_Completion_v18_20260730.zip,692495,d76b9409aac539a9f7b8e597ee208810cabfa494ea35ba9be31c979df694e09e,ok,library_archive/bundles/proof/WHestBench_Oracle_Proof_Completion_v18_20260730,source-archives/proof/WHestBench_Oracle_Proof_Completion_v18_20260730.zip
proof,WHestBench_Priority_Continuation_v27_20260730.zip,46403,2635187a2c9fb7bb01eea7db2e0a920da10e41e66fc442f77bef69a2e3014b55,ok,library_archive/bundles/proof/WHestBench_Priority_Continuation_v27_20260730,source-archives/proof/WHestBench_Priority_Continuation_v27_20260730.zip
proof,WHestBench_Prompt1_Infinite_Hermite_Factor_20260730.zip,186718,b6ebb18663227e48592db573eb64f32791d5b8542f0e746ddd6b99f30d77e12d,ok,library_archive/bundles/proof/WHestBench_Prompt1_Infinite_Hermite_Factor_20260730,source-archives/proof/WHestBench_Prompt1_Infinite_Hermite_Factor_20260730.zip
proof,WHestBench_Prompt1_Weighted_Floor_20260730.zip,97595,118728b02d277412e21a673353071d5ee520d68d00d302662da8a9efae9e7f6e,ok,library_archive/bundles/proof/WHestBench_Prompt1_Weighted_Floor_20260730,source-archives/proof/WHestBench_Prompt1_Weighted_Floor_20260730.zip
proof,WHestBench_Prompt1_Weighted_Floor_Continuation_20260730.zip,309738,69d332b13cb0f15fcbd1b646c01b58fcf2b827de2fdb52dcb4d5f2594429cc38,ok,library_archive/bundles/proof/WHestBench_Prompt1_Weighted_Floor_Continuation_20260730,source-archives/proof/WHestBench_Prompt1_Weighted_Floor_Continuation_20260730.zip
proof,WHestBench_Prompt4_OddGauge_20260730.zip,17634,84beb59139172e41c5a6921e95e853fcccf88e545315a97c48f2cdc19a31775c,ok,library_archive/bundles/proof/WHestBench_Prompt4_OddGauge_20260730,source-archives/proof/WHestBench_Prompt4_OddGauge_20260730.zip
proof,WHestBench_Salvaged_Theorems_V18_20260730.zip,69496,ff6a5198ba3f8183ee356ef29d5e1a0834e465ea5396e38cffd2348f8a302f53,ok,library_archive/bundles/proof/WHestBench_Salvaged_Theorems_V18_20260730,source-archives/proof/WHestBench_Salvaged_Theorems_V18_20260730.zip
proof,WHestBench_v19_Proof_Program_20260730.zip,1750514,dae3cd3a96e022865651ab8434bda64e7fe91b8a54091a6a9046c89481d9f9a5,ok,library_archive/bundles/proof/WHestBench_v19_Proof_Program_20260730,source-archives/proof/WHestBench_v19_Proof_Program_20260730.zip
proof,agent10_whestbench_strengthening_20260730.zip,51111,55dba99c14e64dcdfe5c5ad2826121ff3a64b52d2dd36e1da861c665603ee391,ok,library_archive/bundles/proof/agent10_whestbench_strengthening_20260730,source-archives/proof/agent10_whestbench_strengthening_20260730.zip
proof,agent3_t27_verification_20260729.zip,19648,07f3ac0e3a5016944ea9dd3b82aa5e008e1713c45c6d809f212c4eea04985df2,ok,library_archive/bundles/proof/agent3_t27_verification_20260729,source-archives/proof/agent3_t27_verification_20260729.zip
proof,arc_cubature_proof_v5_1.zip,413785,07cb62e08db46e655d389f5a6c6f5397649dd1eaae1b9ef0ad057080115f216d,ok,library_archive/bundles/proof/arc_cubature_proof_v5_1,source-archives/proof/arc_cubature_proof_v5_1.zip
proof,arc_cubature_proof_v5_dual_engine_20260730.zip,820266,6c3efbbd2b2cd248894f47fda995405dc13199a9f4f9cc2d42bd1e18a78b46ee,ok,library_archive/bundles/proof/arc_cubature_proof_v5_dual_engine_20260730,source-archives/proof/arc_cubature_proof_v5_dual_engine_20260730.zip
proof,arc_cubature_proof_v5_strengthened_20260730.zip,668000,b56512118b58669a8793ab919f4af5c72c88974abc352cb5e5897036f0746e90,ok,library_archive/bundles/proof/arc_cubature_proof_v5_strengthened_20260730,source-archives/proof/arc_cubature_proof_v5_strengthened_20260730.zip
proof,best_paths_beyond_v21_20260730.zip,32426,66052b8017f37841b576c91ff472b0e64db6527a205040032b85a21032585b0d,ok,library_archive/bundles/proof/best_paths_beyond_v21_20260730,source-archives/proof/best_paths_beyond_v21_20260730.zip
proof,best_theorem_targets_exhaustive_20260730.zip,15045,0798eff4cd34b8d5bc043de069b0077268db05c2f0c9e86b41105719c49dd8f3,ok,library_archive/bundles/proof/best_theorem_targets_exhaustive_20260730,source-archives/proof/best_theorem_targets_exhaustive_20260730.zip
proof,remaining_questions_progress_20260730.zip,173058,400c0d28079b7f542906d4deed8afccbd1560979c4d3c4fb19f9fb9a7721494b,ok,library_archive/bundles/proof/remaining_questions_progress_20260730,source-archives/proof/remaining_questions_progress_20260730.zip
proof,stronger_claims_proof_attempts_20260730.zip,9438,04259dedc30cfc6ffd796560d02b233744e8f965f97e039bced3c7d3feccd661,ok,library_archive/bundles/proof/stronger_claims_proof_attempts_20260730,source-archives/proof/stronger_claims_proof_attempts_20260730.zip
proof,whestbench_continuation_audit_20260730.zip,313382,36ef449771a194f0fa42ae96c398663b66c508cae9fc8f1705bda32e1df0fc99,ok,library_archive/bundles/proof/whestbench_continuation_audit_20260730,source-archives/proof/whestbench_continuation_audit_20260730.zip
proof,whestbench_t22_t23_dual_engine_release_v5_2_20260730.zip,820266,6c3efbbd2b2cd248894f47fda995405dc13199a9f4f9cc2d42bd1e18a78b46ee,ok,library_archive/bundles/proof/whestbench_t22_t23_dual_engine_release_v5_2_20260730,source-archives/proof/whestbench_t22_t23_dual_engine_release_v5_2_20260730.zip
experiment,01_legal_signed_anchor_20260729.zip,270001,56014db3502f8fc82e2d624bf63cb24472209b74fce2e579dc8e0936a3667a42,ok,library_archive/bundles/experiment/01_legal_signed_anchor_20260729,source-archives/experiment/01_legal_signed_anchor_20260729.zip
experiment,Agent4_Replayability_Continuation_V3_20260730.zip,385061,c4169b608fff971e0ff73feb61d33d444e01a83aef469821f3fd95f5c148e7be,ok,library_archive/bundles/experiment/Agent4_Replayability_Continuation_V3_20260730,source-archives/experiment/Agent4_Replayability_Continuation_V3_20260730.zip
experiment,Agent4_Sole_Path_Final_Compact_20260730.zip,79631,47f2947c601a6b3c69b634babdb979ac13c0e2e7bac270884042a75a22c2ab93,ok,library_archive/bundles/experiment/Agent4_Sole_Path_Final_Compact_20260730,source-archives/experiment/Agent4_Sole_Path_Final_Compact_20260730.zip
experiment,Agent5_Competition_Opportunity_Experiments_20260730.zip,804487,3eba0cde2af37f2fb2c148aa33dfbfb4dd8fea9826e6eaacb3d3ad00fb710f95,ok,library_archive/bundles/experiment/Agent5_Competition_Opportunity_Experiments_20260730,source-archives/experiment/Agent5_Competition_Opportunity_Experiments_20260730.zip
experiment,Agent5_SignedWeight_Audit_20260729.zip,41650,49d6468cfdbae06b78ca2bfd9e89743d8df683bf60cb20c9f88aebe6bf8948c2,ok,library_archive/bundles/experiment/Agent5_SignedWeight_Audit_20260729,source-archives/experiment/Agent5_SignedWeight_Audit_20260729.zip
experiment,K32_PHASE_IDENTIFIABILITY_TERMINAL_BUNDLE.zip,82404,ebf1512d400cad566df5398e6b7ea489a7bb2eff299af7a9207b4bb6678b3040,ok,library_archive/bundles/experiment/K32_PHASE_IDENTIFIABILITY_TERMINAL_BUNDLE,source-archives/experiment/K32_PHASE_IDENTIFIABILITY_TERMINAL_BUNDLE.zip
experiment,K32_SIGNED_ANCHOR_TERMINAL_BUNDLE.zip,6475424,ef23f0b89a1caef0cd4d6c99a7769ca22818bae5f4ac849a43f06056e190bd9a,ok,library_archive/bundles/experiment/K32_SIGNED_ANCHOR_TERMINAL_BUNDLE,source-archives/experiment/K32_SIGNED_ANCHOR_TERMINAL_BUNDLE.zip
experiment,PATH2_LEARNED_SIGN_SCALE_ABSTENTION_20260729.zip,399149,34768e6e6ddb4b039ae7a2deafb39919e80fb6db1b9eb313f74828d58956abc6,ok,library_archive/bundles/experiment/PATH2_LEARNED_SIGN_SCALE_ABSTENTION_20260729,source-archives/experiment/PATH2_LEARNED_SIGN_SCALE_ABSTENTION_20260729.zip
experiment,PATH2_LEARNED_SIGN_SCALE_ABSTENTION_CONTINUATION_20260729.zip,919027,d936f8588da723631f9ab6ab276aa3ddd3a74f4285fa73dd1b3b33b044b02559,ok,library_archive/bundles/experiment/PATH2_LEARNED_SIGN_SCALE_ABSTENTION_CONTINUATION_20260729,source-archives/experiment/PATH2_LEARNED_SIGN_SCALE_ABSTENTION_CONTINUATION_20260729.zip
experiment,REOPENED_PATHS_REPRO_PACKAGE_20260730.zip,10006123,2ec340ccf17d2c2ff2871f2a7b7b2828243276fd86da932c18aca1f35dd3e436,ok,library_archive/bundles/experiment/REOPENED_PATHS_REPRO_PACKAGE_20260730,source-archives/experiment/REOPENED_PATHS_REPRO_PACKAGE_20260730.zip
experiment,T0_official_grader_instrumentation_20260729_FINAL.zip,5339166,8c29a472b66b344e6f8aa5b8049bae239c8b8e422c5f0fff934a7ad9329121f4,ok,library_archive/bundles/experiment/T0_official_grader_instrumentation_20260729_FINAL,source-archives/experiment/T0_official_grader_instrumentation_20260729_FINAL.zip
experiment,T0_unblocked_execution_bundle_20260729.zip,5432495,d4235ea9244e02d5acbd7dac7f87feb4a2a00287ee6e201e658a52aa26de2b22,ok,library_archive/bundles/experiment/T0_unblocked_execution_bundle_20260729,source-archives/experiment/T0_unblocked_execution_bundle_20260729.zip
experiment,WHestBench_Agent_Experiment_Paths_20260729.zip,15386,e44ecec1f1d9b48d767b2e2c8fb02763d41efc67184a6e5ab799f6ceb11fcd75,ok,library_archive/bundles/experiment/WHestBench_Agent_Experiment_Paths_20260729,source-archives/experiment/WHestBench_Agent_Experiment_Paths_20260729.zip
experiment,WHestBench_Experiment_Launch_Pack_20260729_v2.zip,10317558,c5f4328780595839db55755351f4e706b0463f50b99d4eb6ad58ca40486c3730,ok,library_archive/bundles/experiment/WHestBench_Experiment_Launch_Pack_20260729_v2,source-archives/experiment/WHestBench_Experiment_Launch_Pack_20260729_v2.zip
experiment,WHestBench_Project_Closeout_v17_20260730.zip,2041830,274af15db451272cbb68b2ca7bd73c675b87eb65830e8c42b62b0056305c00fa,ok,library_archive/bundles/experiment/WHestBench_Project_Closeout_v17_20260730,source-archives/experiment/WHestBench_Project_Closeout_v17_20260730.zip
experiment,WHestBench_Prompt2_FiniteWidth_Reproducibility_20260730.zip,10390215,2eec1e797d6e22616e40ad2884516a5fe7466e454ebd381da0564ee5d4c5175d,ok,library_archive/bundles/experiment/WHestBench_Prompt2_FiniteWidth_Reproducibility_20260730,source-archives/experiment/WHestBench_Prompt2_FiniteWidth_Reproducibility_20260730.zip
experiment,WHestBench_noncompute_statistical_continuation_20260730.zip,5518358,710805c53452b4336b82ce252af70eea6663ed34259bcc0fbfedf74d85ae0d11,ok,library_archive/bundles/experiment/WHestBench_noncompute_statistical_continuation_20260730,source-archives/experiment/WHestBench_noncompute_statistical_continuation_20260730.zip
experiment,agent6_anchor_review_20260730.zip,360268,9c2016a1c8a870c9cb02d01708e80d997d16db148d8712e18f647ebbd4b30df3,ok,library_archive/bundles/experiment/agent6_anchor_review_20260730,source-archives/experiment/agent6_anchor_review_20260730.zip
experiment,agent8_harmonic_control_audit_20260729.zip,18101,f5dbbd9fb0a43c2266e7acbd5c9d5b38dabd4621a994384ae54b388a4af466a1,ok,library_archive/bundles/experiment/agent8_harmonic_control_audit_20260729,source-archives/experiment/agent8_harmonic_control_audit_20260729.zip
experiment,agent9_evidence_audit_20260730.zip,18026,738d4662a51f41baebfea4692af94cbd191ff2b72e48edd4bf22a5a576f754e9,ok,library_archive/bundles/experiment/agent9_evidence_audit_20260730,source-archives/experiment/agent9_evidence_audit_20260730.zip
experiment,cascade_observability_execution_20260730.zip,608404,41b12c97aabfaad1f0a7642fa16c527b9d05c8a1d1321fffaf535a4b7ac7d408,ok,library_archive/bundles/experiment/cascade_observability_execution_20260730,source-archives/experiment/cascade_observability_execution_20260730.zip
experiment,companion_orientation_codebook_20260729.zip,5828118,717889846cfdf2902d1070fed57c14d22af33a68c66a362f839eafc6bb340f16,ok,library_archive/bundles/experiment/companion_orientation_codebook_20260729,source-archives/experiment/companion_orientation_codebook_20260729.zip
experiment,direct_pair_moments_20260729.zip,766315,1211190d5e45c13e5839e9cd2cfb9728877c29b3909ebf306b8f50b8ef7aa7fc,ok,library_archive/bundles/experiment/direct_pair_moments_20260729,source-archives/experiment/direct_pair_moments_20260729.zip
experiment,edge_dws_prompt7_final_compact_20260729.zip,490251,ef3a2623847720c6e217a3d68b19b8fcd278a0bfdb4ef6c185c37f57371c2fb7,ok,library_archive/bundles/experiment/edge_dws_prompt7_final_compact_20260729,source-archives/experiment/edge_dws_prompt7_final_compact_20260729.zip
experiment,legal_signed_anchor_continuation_20260729.zip,2700534,b659281a9aa452336a9f5176ee03d26768686e2bb5f01ceeed79977daf7132f7,ok,library_archive/bundles/experiment/legal_signed_anchor_continuation_20260729,source-archives/experiment/legal_signed_anchor_continuation_20260729.zip
experiment,nested_partial_mub_uncertainty_20260729_report_bundle.zip,415236,c7d74d968a2e4478790c727b1234ed2d05d79d35a5580b62395ad47a53f85725,ok,library_archive/bundles/experiment/nested_partial_mub_uncertainty_20260729_report_bundle,source-archives/experiment/nested_partial_mub_uncertainty_20260729_report_bundle.zip
experiment,network_specific_factorization_20260729.zip,592662,7be8b3e9e31dad1cc9aba6d45bd60ed6e269b26fadedea217fd4f05c9d532e64,ok,library_archive/bundles/experiment/network_specific_factorization_20260729,source-archives/experiment/network_specific_factorization_20260729.zip
experiment,oracle_circularity_correction_20260730.zip,11341,dcb34896d094864431a580c7dbda743febf64fd1eabafd5795e32e2ebb345ce0,ok,library_archive/bundles/experiment/oracle_circularity_correction_20260730,source-archives/experiment/oracle_circularity_correction_20260730.zip
experiment,oracle_continuation_experiments_20260730.zip,85400,c5b2b995948306e6ae446de78a7c08135a838746d3d4e3a9faac5cf493b89d6a,ok,library_archive/bundles/experiment/oracle_continuation_experiments_20260730,source-archives/experiment/oracle_continuation_experiments_20260730.zip
experiment,path5_set_level_coreset_20260729.zip,3517936,fe9ddfa7f55bce01b94cc9d3ff2423e755083553a1fd2c34b19b68095bb1a103,ok,library_archive/bundles/experiment/path5_set_level_coreset_20260729,source-archives/experiment/path5_set_level_coreset_20260729.zip
experiment,path5_set_level_coreset_20260729_v2.zip,4638785,5ffafeea3ae83640ba0161c1a5dd2e30909da0501312f1ac2e16cf4032a21454,ok,library_archive/bundles/experiment/path5_set_level_coreset_20260729_v2,source-archives/experiment/path5_set_level_coreset_20260729_v2.zip
experiment,path6_compute_liberation_20260729.zip,705253,ce485dd2bb69490007e2a24d24a4f86fa19e8c9cce7917f559cf02653cd71c54,ok,library_archive/bundles/experiment/path6_compute_liberation_20260729,source-archives/experiment/path6_compute_liberation_20260729.zip
experiment,whest_additional_progress_20260730.zip,137169,1376035ca8c802871bb4561dc8f033ef5def9d3f8747c628ae514f3e3e1e19e5,ok,library_archive/bundles/experiment/whest_additional_progress_20260730,source-archives/experiment/whest_additional_progress_20260730.zip
