Static Signed Sign-Count Frontier — canonical T78,,,,
Minimum negative atoms q,Maximum positive weights,Risk / Kerdock,Same-cost gain cap,Canonical interpretation
1,66047,0.9370605226,1.0671669289,Universal worst signed class; dedicated T74 witness is the headline.
2,66046,0.9370739626,1.067151623,Two negative atoms already incur a strictly higher floor.
16,66032,0.9372729741,1.0669250343,Sparse negativity remains near the universal boundary.
64,65984,0.9379559403,1.06614816,Still far below winning scale.
256,65792,0.9406984935,1.0630398655,Diffuse negativity increasingly harmful.
1024,65024,0.9518267726,1.0506113389,Nearly rules out1.05x.
1072,64976,0.9525316552,1.0498338765,Certified below1.05x gain.
2048,64000,0.9670812292,1.0340393029,Only3.4% same-cost headroom.
4096,61952,0.999103642,1.0008971622,Essentially no improvement over Kerdock.
4160,61888,1.0001384731,0.9998615461,Certified worse than Kerdock.
8192,57856,1.069948421,0.9346244925,Substantially worse than Kerdock.
